Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
50words,15322.49,2.655,99.3333,66.3736,450,455,270,0.25,0.67,10
50words,15714.9,2.618,100,65.9341,450,455,270,0.25,0.67,10
50words,15087.44,3.432,99.3333,65.7143,450,455,270,0.25,0.67,10
50words,12617.06,2.61,99.5556,65.0549,450,455,270,0.25,0.67,10
50words,15674.59,2.575,99.5556,66.1538,450,455,270,0.25,0.67,10
50words,16978,2.646,99.5556,64.8352,450,455,270,0.25,0.67,10
50words,17964.15,2.729,99.5556,66.1538,450,455,270,0.25,0.67,10
50words,19134.49,4.943,99.3333,67.9121,450,455,270,0.25,0.67,10
50words,18598.33,4.964,99.7778,64.8352,450,455,270,0.25,0.67,10
50words,19485.46,2.575,99.7778,66.8132,450,455,270,0.25,0.67,10
50words,19640.09,2.661,100,65.0549,450,455,270,0.25,0.67,10
50words,21819.6,3.391,99.5556,62.8571,450,455,270,0.25,0.67,10
50words,19306,2.607,99.5556,65.4945,450,455,270,0.25,0.67,10
50words,22182.91,2.565,99.3333,65.2747,450,455,270,0.25,0.67,10
50words,22960.25,4.97,100,63.0769,450,455,270,0.25,0.67,10
50words,19605.36,3.459,99.5556,62.8571,450,455,270,0.25,0.67,10
50words,23803.92,3.462,99.3333,66.1538,450,455,270,0.25,0.67,10
50words,24769.98,4.858,99.7778,66.1538,450,455,270,0.25,0.67,10
50words,24809.38,2.671,99.7778,64.6154,450,455,270,0.25,0.67,10
50words,23904.31,4.842,99.3333,64.8352,450,455,270,0.25,0.67,10
50words,25357.85,4.853,99.5556,66.3736,450,455,270,0.25,0.67,10
50words,26241.4,2.547,99.3333,62.4176,450,455,270,0.25,0.67,10
50words,26454.35,4.867,99.5556,66.1538,450,455,270,0.25,0.67,10
50words,24617.1,4.937,99.3333,64.8352,450,455,270,0.25,0.67,10
50words,24904.56,4.801,100,67.033,450,455,270,0.25,0.67,10
50words,21336.36,2.629,100,67.4725,450,455,270,0.25,0.67,10
50words,21802.54,4.838,99.7778,64.6154,450,455,270,0.25,0.67,10
50words,21885.7,2.585,100,64.6154,450,455,270,0.25,0.67,10
50words,24239.83,4.819,99.5556,68.3516,450,455,270,0.25,0.67,10
50words,28428.77,4.908,99.5556,67.2527,450,455,270,0.25,0.67,10
50words,27793.62,4.895,99.5556,66.1538,450,455,270,0.25,0.67,10
50words,26636.93,4.848,99.3333,67.033,450,455,270,0.25,0.67,10
50words,28041.47,4.82,99.7778,64.8352,450,455,270,0.25,0.67,10
50words,28388.35,3.412,99.5556,65.0549,450,455,270,0.25,0.67,10
50words,29019.28,4.766,98.6667,63.956,450,455,270,0.25,0.67,10
50words,21068.96,4.741,100,66.1538,450,455,270,0.25,0.67,10
50words,26365.53,2.663,99.3333,65.2747,450,455,270,0.25,0.67,10
50words,28798.97,4.87,99.5556,66.8132,450,455,270,0.25,0.67,10
50words,30126.51,4.903,100,64.8352,450,455,270,0.25,0.67,10
50words,21008.77,4.814,98.6667,64.8352,450,455,270,0.25,0.67,10
50words,22444.84,4.902,99.5556,66.8132,450,455,270,0.25,0.67,10
50words,27915.32,4.825,98.8889,64.6154,450,455,270,0.25,0.67,10
50words,29989.34,3.371,99.7778,64.8352,450,455,270,0.25,0.67,10
50words,31744.83,4.875,99.5556,68.5714,450,455,270,0.25,0.67,10
50words,24475.95,2.634,99.3333,69.011,450,455,270,0.25,0.67,10
50words,32334.42,3.467,99.3333,66.8132,450,455,270,0.25,0.67,10
50words,30998.56,2.66,99.1111,68.1319,450,455,270,0.25,0.67,10
50words,26421.53,4.779,99.7778,65.7143,450,455,270,0.25,0.67,10
50words,24432.5,4.905,100,62.6374,450,455,270,0.25,0.67,10
50words,32969.08,4.852,99.1111,64.6154,450,455,270,0.25,0.67,10
50words,25813.3,4.918,99.7778,64.8352,450,455,270,0.25,0.67,10
50words,24694.31,4.671,98.8889,67.9121,450,455,270,0.25,0.67,10
50words,34378.75,4.855,99.5556,65.9341,450,455,270,0.25,0.67,10
50words,29602.7,4.865,99.5556,65.0549,450,455,270,0.25,0.67,10
50words,32917.62,4.96,99.5556,65.0549,450,455,270,0.25,0.67,10
50words,32261.46,4.809,100,66.3736,450,455,270,0.25,0.67,10
50words,29570.89,2.643,100,65.4945,450,455,270,0.25,0.67,10
50words,37395.87,4.852,99.3333,65.2747,450,455,270,0.25,0.67,10
50words,38653.01,2.606,99.7778,67.033,450,455,270,0.25,0.67,10
50words,37075.61,4.833,100,62.8571,450,455,270,0.25,0.67,10
50words,30107.4,4.689,99.7778,65.9341,450,455,270,0.25,0.67,10
50words,37149.08,4.379,99.5556,63.7363,450,455,270,0.25,0.67,10
50words,38016.09,4.73,99.7778,63.7363,450,455,270,0.25,0.67,10
50words,40603.93,4.869,99.3333,61.978,450,455,270,0.25,0.67,10
50words,31609.34,4.735,99.5556,64.6154,450,455,270,0.25,0.67,10
50words,31474.83,4.836,99.5556,64.8352,450,455,270,0.25,0.67,10
50words,42097.91,4.837,99.7778,64.3956,450,455,270,0.25,0.67,10
50words,34399.46,4.832,99.5556,65.9341,450,455,270,0.25,0.67,10
50words,41124.29,4.83,100,64.1758,450,455,270,0.25,0.67,10
50words,39532.3,4.361,99.7778,64.6154,450,455,270,0.25,0.67,10
50words,37582.94,4.989,100,64.6154,450,455,270,0.25,0.67,10
50words,43037.49,4.835,100,63.7363,450,455,270,0.25,0.67,10
50words,47566.63,4.296,99.1111,65.4945,450,455,270,0.25,0.67,10
50words,48739.33,4.829,99.5556,63.5165,450,455,270,0.25,0.67,10
50words,44408.99,4.84,99.7778,65.4945,450,455,270,0.25,0.67,10
50words,50862.25,4.761,99.5556,63.956,450,455,270,0.25,0.67,10
50words,51661.35,4.856,99.7778,65.4945,450,455,270,0.25,0.67,10
50words,42420.32,4.851,99.3333,65.2747,450,455,270,0.25,0.67,10
50words,51895.85,4.528,99.7778,64.3956,450,455,270,0.25,0.67,10
50words,52116.26,4.374,99.5556,66.5934,450,455,270,0.25,0.67,10
50words,52517.71,4.361,99.5556,62.6374,450,455,270,0.25,0.67,10
50words,50222.47,4.778,99.7778,66.8132,450,455,270,0.25,0.67,10
50words,53789.77,4.799,99.7778,66.8132,450,455,270,0.25,0.67,10
50words,45132.01,4.832,99.5556,65.7143,450,455,270,0.25,0.67,10
50words,48743.98,4.846,99.5556,65.7143,450,455,270,0.25,0.67,10
50words,54678.56,4.345,99.3333,67.6923,450,455,270,0.25,0.67,10
50words,53919.26,4.729,99.7778,63.956,450,455,270,0.25,0.67,10
50words,57306.49,4.812,99.5556,66.3736,450,455,270,0.25,0.67,10
50words,54875.89,4.398,99.3333,63.0769,450,455,270,0.25,0.67,10
50words,56294.16,4.358,100,67.033,450,455,270,0.25,0.67,10
50words,64966.05,4.786,99.7778,65.4945,450,455,270,0.25,0.67,10
50words,67051.15,4.376,99.7778,67.4725,450,455,270,0.25,0.67,10
50words,62390.31,4.908,99.7778,68.3516,450,455,270,0.25,0.67,10
50words,64598.02,4.455,99.7778,66.1538,450,455,270,0.25,0.67,10
50words,72578.23,4.401,99.7778,66.5934,450,455,270,0.25,0.67,10
50words,67446.34,4.452,99.3333,66.8132,450,455,270,0.25,0.67,10
50words,65815.65,4.479,99.7778,64.8352,450,455,270,0.25,0.67,10
50words,81453.44,4.402,98.8889,63.5165,450,455,270,0.25,0.67,10
50words,92791.61,4.457,99.7778,63.7363,450,455,270,0.25,0.67,10
50words,95971.04,4.339,99.3333,66.3736,450,455,270,0.25,0.67,10
Adiac,1494.55,0.674,98.9744,62.6598,390,391,176,0.25,0.67,10
