Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
50words,107581.99,2.665,100,68.5714,450,455,270,0.25,0.67,10
50words,166877.28,4.696,100,69.6703,450,455,270,0.25,0.67,10
50words,170135.44,4.616,100,69.6703,450,455,270,0.25,0.67,10
50words,173018.73,2.605,100,69.011,450,455,270,0.25,0.67,10
50words,184607.59,3.11,100,69.4505,450,455,270,0.25,0.67,10
50words,183450.9,2.667,100,70.1099,450,455,270,0.25,0.67,10
50words,181461.55,2.755,100,68.1319,450,455,270,0.25,0.67,10
50words,183498.64,2.639,100,65.9341,450,455,270,0.25,0.67,10
50words,193974.1,2.674,100,68.7912,450,455,270,0.25,0.67,10
50words,199114.32,6.19,100,69.6703,450,455,270,0.25,0.67,10
50words,197908.33,3.294,100,69.8901,450,455,270,0.25,0.67,10
50words,206356.64,2.704,100,68.3516,450,455,270,0.25,0.67,10
50words,208032.78,2.7,100,68.3516,450,455,270,0.25,0.67,10
50words,215310.39,6.362,100,68.5714,450,455,270,0.25,0.67,10
50words,217503.46,4.54,100,70.3297,450,455,270,0.25,0.67,10
50words,221002.76,2.61,100,69.8901,450,455,270,0.25,0.67,10
50words,218515.57,4.924,100,69.2308,450,455,270,0.25,0.67,10
50words,223646.02,3.37,100,65.4945,450,455,270,0.25,0.67,10
50words,225733.69,4.831,100,67.6923,450,455,270,0.25,0.67,10
50words,223922.67,6.083,100,65.0549,450,455,270,0.25,0.67,10
50words,222294.28,3.749,100,68.1319,450,455,270,0.25,0.67,10
50words,243893.54,2.799,100,70.1099,450,455,270,0.25,0.67,10
50words,246798.79,2.694,100,68.5714,450,455,270,0.25,0.67,10
50words,249203.6,4.557,100,68.3516,450,455,270,0.25,0.67,10
50words,256504.65,4.522,100,68.5714,450,455,270,0.25,0.67,10
50words,260032.95,2.715,100,70.1099,450,455,270,0.25,0.67,10
50words,262931.17,4.747,100,70.5495,450,455,270,0.25,0.67,10
50words,268110.32,4.538,100,70.7692,450,455,270,0.25,0.67,10
50words,271274.71,5.21,100,67.6923,450,455,270,0.25,0.67,10
50words,280698.91,2.963,100,70.5495,450,455,270,0.25,0.67,10
50words,283706.95,3.135,100,69.8901,450,455,270,0.25,0.67,10
50words,282981.68,5.133,100,70.1099,450,455,270,0.25,0.67,10
50words,298178.09,10.684,100,69.4505,450,455,270,0.25,0.67,10
50words,309086.58,5.197,100,70.1099,450,455,270,0.25,0.67,10
50words,312225.61,6.223,100,70.3297,450,455,270,0.25,0.67,10
50words,326781.22,4.425,100,69.4505,450,455,270,0.25,0.67,10
50words,355724.14,12.216,100,68.7912,450,455,270,0.25,0.67,10
50words,374224.53,6.051,100,68.7912,450,455,270,0.25,0.67,10
50words,402035.48,5.814,100,70.989,450,455,270,0.25,0.67,10
50words,415297.07,5.554,100,70.3297,450,455,270,0.25,0.67,10
50words,425372.1,3.842,100,66.3736,450,455,270,0.25,0.67,10
50words,440850.81,3.014,100,71.6484,450,455,270,0.25,0.67,10
50words,444180.15,5.687,100,67.4725,450,455,270,0.25,0.67,10
50words,458755.83,10.169,100,71.4286,450,455,270,0.25,0.67,10
50words,462778.3,12.418,100,69.011,450,455,270,0.25,0.67,10
50words,464933.91,3.16,100,69.011,450,455,270,0.25,0.67,10
50words,471407.72,4.799,100,68.5714,450,455,270,0.25,0.67,10
50words,525369.3,3.096,100,67.9121,450,455,270,0.25,0.67,10
50words,537509.15,3.568,100,66.3736,450,455,270,0.25,0.67,10
50words,584892.21,13.313,100,70.1099,450,455,270,0.25,0.67,10
50words,604363.69,3.644,100,70.3297,450,455,270,0.25,0.67,10
50words,613344.45,5.288,100,69.4505,450,455,270,0.25,0.67,10
50words,623743.35,3.134,100,68.1319,450,455,270,0.25,0.67,10
50words,632666.79,6.244,100,68.3516,450,455,270,0.25,0.67,10
50words,635210.81,3.842,100,69.8901,450,455,270,0.25,0.67,10
50words,668211.64,5.828,100,70.5495,450,455,270,0.25,0.67,10
50words,699795.88,5.84,100,69.6703,450,455,270,0.25,0.67,10
50words,713266.21,4.46,99.7778,68.3516,450,455,270,0.25,0.67,10
50words,744045.05,3.936,100,70.3297,450,455,270,0.25,0.67,10
50words,760994.87,13.433,100,67.6923,450,455,270,0.25,0.67,10
50words,776456.29,14.34,100,69.011,450,455,270,0.25,0.67,10
50words,789496.99,3.065,100,70.1099,450,455,270,0.25,0.67,10
50words,812836.07,3.78,100,69.2308,450,455,270,0.25,0.67,10
50words,819866.43,3.15,100,70.1099,450,455,270,0.25,0.67,10
Adiac,4660.35,0.692,100,64.7059,390,391,176,0.25,0.67,10
Adiac,4597.05,0.762,100,64.7059,390,391,176,0.25,0.67,10
Adiac,4495.75,0.762,100,65.7289,390,391,176,0.25,0.67,10
Adiac,4690.48,0.712,100,64.9616,390,391,176,0.25,0.67,10
Adiac,4593.66,0.743,100,62.4041,390,391,176,0.25,0.67,10
Adiac,4719.14,0.7,100,65.4731,390,391,176,0.25,0.67,10
Adiac,4626.59,0.741,100,64.1944,390,391,176,0.25,0.67,10
Adiac,4717.47,0.714,100,64.9616,390,391,176,0.25,0.67,10
Adiac,4809.95,0.691,100,64.7059,390,391,176,0.25,0.67,10
Adiac,4816.03,0.766,100,66.4962,390,391,176,0.25,0.67,10
Adiac,4766.46,0.741,100,63.6829,390,391,176,0.25,0.67,10
Adiac,4850.46,0.729,100,64.7059,390,391,176,0.25,0.67,10
Adiac,4772.7,0.741,100,64.9616,390,391,176,0.25,0.67,10
Adiac,4906.24,0.758,100,65.9847,390,391,176,0.25,0.67,10
Adiac,4928.85,0.746,100,65.7289,390,391,176,0.25,0.67,10
Adiac,4713.6,0.747,100,66.7519,390,391,176,0.25,0.67,10
Adiac,4794.26,0.723,100,64.7059,390,391,176,0.25,0.67,10
Adiac,4860.15,0.741,100,65.9847,390,391,176,0.25,0.67,10
Adiac,4971.54,0.734,100,64.1944,390,391,176,0.25,0.67,10
Adiac,4927.58,0.77,100,65.4731,390,391,176,0.25,0.67,10
Adiac,4962.57,0.732,100,63.6829,390,391,176,0.25,0.67,10
Adiac,5047.05,0.753,100,63.6829,390,391,176,0.25,0.67,10
Adiac,4917.49,0.764,100,63.6829,390,391,176,0.25,0.67,10
Adiac,5027.69,0.738,100,61.3811,390,391,176,0.25,0.67,10
Adiac,5005.43,0.713,100,64.1944,390,391,176,0.25,0.67,10
Adiac,4953.27,0.748,100,65.2174,390,391,176,0.25,0.67,10
Adiac,5104.65,0.699,100,66.4962,390,391,176,0.25,0.67,10
Adiac,4984.68,0.735,100,62.1483,390,391,176,0.25,0.67,10
Adiac,5005.57,0.732,100,63.6829,390,391,176,0.25,0.67,10
Adiac,5190.4,0.725,100,63.6829,390,391,176,0.25,0.67,10
Adiac,5114.71,0.716,100,66.4962,390,391,176,0.25,0.67,10
Adiac,5249.09,0.719,100,63.4271,390,391,176,0.25,0.67,10
Adiac,5249.31,0.727,100,66.2404,390,391,176,0.25,0.67,10
Adiac,5171.39,0.773,100,65.4731,390,391,176,0.25,0.67,10
Adiac,5133.87,0.746,100,66.2404,390,391,176,0.25,0.67,10
Adiac,5314.72,0.719,100,61.8926,390,391,176,0.25,0.67,10
Adiac,5184.28,0.734,100,66.7519,390,391,176,0.25,0.67,10
Adiac,5221.25,0.657,100,64.1944,390,391,176,0.25,0.67,10
Adiac,5284.48,0.688,100,67.0077,390,391,176,0.25,0.67,10
Adiac,5336.44,0.743,100,64.7059,390,391,176,0.25,0.67,10
Adiac,5131.04,0.765,100,64.9616,390,391,176,0.25,0.67,10
Adiac,5227.28,0.766,100,64.9616,390,391,176,0.25,0.67,10
Adiac,5352.48,0.75,100,64.9616,390,391,176,0.25,0.67,10
Adiac,5346.52,0.739,100,65.7289,390,391,176,0.25,0.67,10
Adiac,5296.08,0.783,100,59.8465,390,391,176,0.25,0.67,10
Adiac,5363.99,0.796,100,63.1714,390,391,176,0.25,0.67,10
Adiac,5224.43,0.686,100,63.9386,390,391,176,0.25,0.67,10
Adiac,5147.06,0.683,100,60.3581,390,391,176,0.25,0.67,10
Adiac,5371.99,0.78,100,63.4271,390,391,176,0.25,0.67,10
Adiac,5330.91,0.698,100,64.9616,390,391,176,0.25,0.67,10
Adiac,5338.78,0.725,100,65.4731,390,391,176,0.25,0.67,10
Adiac,5294.53,0.737,100,65.4731,390,391,176,0.25,0.67,10
Adiac,5464.49,0.733,100,62.9156,390,391,176,0.25,0.67,10
Adiac,5414.84,0.744,100,66.7519,390,391,176,0.25,0.67,10
Adiac,5301.35,0.782,100,66.7519,390,391,176,0.25,0.67,10
Adiac,5338.88,0.717,100,63.9386,390,391,176,0.25,0.67,10
Adiac,5462.32,0.675,100,65.2174,390,391,176,0.25,0.67,10
Adiac,5535.23,0.76,100,65.2174,390,391,176,0.25,0.67,10
Adiac,5491.27,0.716,100,61.8926,390,391,176,0.25,0.67,10
Adiac,5586.34,0.729,100,65.2174,390,391,176,0.25,0.67,10
Adiac,5576.78,0.724,100,64.7059,390,391,176,0.25,0.67,10
Adiac,5621.39,0.692,100,63.4271,390,391,176,0.25,0.67,10
Adiac,5619.28,0.764,100,66.7519,390,391,176,0.25,0.67,10
Adiac,5503.34,0.778,100,64.4501,390,391,176,0.25,0.67,10
Adiac,5676.69,0.746,100,65.7289,390,391,176,0.25,0.67,10
Adiac,5597.5,0.759,100,66.7519,390,391,176,0.25,0.67,10
Adiac,5679.62,0.706,100,64.4501,390,391,176,0.25,0.67,10
Adiac,5758.86,0.727,100,61.8926,390,391,176,0.25,0.67,10
Adiac,5616.7,0.72,100,63.9386,390,391,176,0.25,0.67,10
Adiac,5574.46,0.725,100,64.4501,390,391,176,0.25,0.67,10
Adiac,5701.35,0.788,100,62.6598,390,391,176,0.25,0.67,10
Adiac,5796.02,0.751,100,64.4501,390,391,176,0.25,0.67,10
Adiac,5707.38,0.812,100,67.0077,390,391,176,0.25,0.67,10
Adiac,5848.26,0.681,100,65.9847,390,391,176,0.25,0.67,10
Adiac,5798.45,0.732,100,65.2174,390,391,176,0.25,0.67,10
Adiac,5788.73,0.728,100,63.1714,390,391,176,0.25,0.67,10
Adiac,5741.61,0.773,100,65.9847,390,391,176,0.25,0.67,10
Adiac,5778.03,0.732,100,63.1714,390,391,176,0.25,0.67,10
Adiac,5661.64,1.359,100,63.6829,390,391,176,0.25,0.67,10
Adiac,5792.77,0.744,100,64.7059,390,391,176,0.25,0.67,10
Adiac,5812.96,0.756,100,62.4041,390,391,176,0.25,0.67,10
Adiac,5816.12,0.745,100,63.9386,390,391,176,0.25,0.67,10
Adiac,5887.54,0.692,100,64.1944,390,391,176,0.25,0.67,10
Adiac,5955.94,0.789,100,64.4501,390,391,176,0.25,0.67,10
Adiac,5829.7,1.29,100,63.1714,390,391,176,0.25,0.67,10
Adiac,5787.38,1.323,100,66.7519,390,391,176,0.25,0.67,10
Adiac,5816.38,1.33,100,64.7059,390,391,176,0.25,0.67,10
Adiac,5978.65,0.731,100,64.9616,390,391,176,0.25,0.67,10
Adiac,6114.57,0.707,100,63.4271,390,391,176,0.25,0.67,10
Adiac,6100.28,0.71,100,62.4041,390,391,176,0.25,0.67,10
Adiac,6209.33,1.306,100,64.1944,390,391,176,0.25,0.67,10
Adiac,5935.28,1.311,100,63.6829,390,391,176,0.25,0.67,10
Adiac,5991.3,1.379,100,61.6368,390,391,176,0.25,0.67,10
Adiac,6318.74,1.263,100,64.9616,390,391,176,0.25,0.67,10
Adiac,6102.44,1.342,100,64.9616,390,391,176,0.25,0.67,10
Adiac,6178.45,1.401,100,66.7519,390,391,176,0.25,0.67,10
Adiac,6458.01,1.308,100,61.8926,390,391,176,0.25,0.67,10
Adiac,6943.96,1.306,100,61.1253,390,391,176,0.25,0.67,10
Adiac,6932.72,1.349,100,65.7289,390,391,176,0.25,0.67,10
Adiac,6980.1,1.217,100,67.0077,390,391,176,0.25,0.67,10
ArrowHead,122.29,0.218,100,63.4286,36,175,251,0.25,0.67,10
ArrowHead,123.46,0.223,100,63.4286,36,175,251,0.25,0.67,10
ArrowHead,115.6,0.226,100,65.1429,36,175,251,0.25,0.67,10
ArrowHead,127.03,0.214,100,66.8571,36,175,251,0.25,0.67,10
ArrowHead,131.08,0.236,100,69.7143,36,175,251,0.25,0.67,10
ArrowHead,122.35,0.229,100,62.8571,36,175,251,0.25,0.67,10
ArrowHead,122.84,0.221,100,63.4286,36,175,251,0.25,0.67,10
ArrowHead,124.73,0.212,100,66.2857,36,175,251,0.25,0.67,10
ArrowHead,118.5,0.246,100,64,36,175,251,0.25,0.67,10
ArrowHead,122.23,0.244,100,65.7143,36,175,251,0.25,0.67,10
ArrowHead,196.91,0.416,100,63.4286,36,175,251,0.25,0.67,10
ArrowHead,200.09,0.43,100,66.2857,36,175,251,0.25,0.67,10
ArrowHead,198.33,0.399,100,67.4286,36,175,251,0.25,0.67,10
ArrowHead,191.81,0.375,100,65.1429,36,175,251,0.25,0.67,10
ArrowHead,211.55,0.476,100,66.2857,36,175,251,0.25,0.67,10
ArrowHead,195.22,0.349,100,65.7143,36,175,251,0.25,0.67,10
ArrowHead,195.7,0.352,100,66.8571,36,175,251,0.25,0.67,10
ArrowHead,195.95,0.4,100,67.4286,36,175,251,0.25,0.67,10
ArrowHead,189.1,0.426,100,64,36,175,251,0.25,0.67,10
ArrowHead,196.74,0.422,100,68,36,175,251,0.25,0.67,10
ArrowHead,197.42,0.442,100,66.8571,36,175,251,0.25,0.67,10
ArrowHead,194.24,0.358,100,65.7143,36,175,251,0.25,0.67,10
ArrowHead,186.31,0.367,100,65.7143,36,175,251,0.25,0.67,10
ArrowHead,202.8,0.431,100,67.4286,36,175,251,0.25,0.67,10
ArrowHead,119.26,0.225,100,66.8571,36,175,251,0.25,0.67,10
ArrowHead,210.47,0.391,100,65.1429,36,175,251,0.25,0.67,10
ArrowHead,127.16,0.229,100,64.5714,36,175,251,0.25,0.67,10
ArrowHead,215.08,0.427,100,66.8571,36,175,251,0.25,0.67,10
ArrowHead,196.86,0.447,100,65.7143,36,175,251,0.25,0.67,10
ArrowHead,124.02,0.238,100,66.2857,36,175,251,0.25,0.67,10
ArrowHead,199.37,0.467,100,68.5714,36,175,251,0.25,0.67,10
ArrowHead,125.67,0.224,100,67.4286,36,175,251,0.25,0.67,10
ArrowHead,126.65,0.207,100,64.5714,36,175,251,0.25,0.67,10
ArrowHead,124.25,0.215,100,68,36,175,251,0.25,0.67,10
ArrowHead,126.5,0.238,100,69.7143,36,175,251,0.25,0.67,10
ArrowHead,260.36,0.383,100,70.8571,36,175,251,0.25,0.67,10
ArrowHead,118.36,0.214,100,61.7143,36,175,251,0.25,0.67,10
ArrowHead,214.52,0.452,100,65.1429,36,175,251,0.25,0.67,10
ArrowHead,123.28,0.229,100,69.1429,36,175,251,0.25,0.67,10
ArrowHead,191.84,0.394,100,66.2857,36,175,251,0.25,0.67,10
ArrowHead,194.11,0.365,100,65.7143,36,175,251,0.25,0.67,10
ArrowHead,195.55,0.372,100,66.8571,36,175,251,0.25,0.67,10
ArrowHead,124.16,0.208,100,66.2857,36,175,251,0.25,0.67,10
ArrowHead,197.33,0.479,100,65.7143,36,175,251,0.25,0.67,10
ArrowHead,199.64,0.411,100,69.1429,36,175,251,0.25,0.67,10
ArrowHead,199.62,0.388,100,68,36,175,251,0.25,0.67,10
ArrowHead,199.92,0.453,100,64.5714,36,175,251,0.25,0.67,10
ArrowHead,202.43,0.344,100,65.1429,36,175,251,0.25,0.67,10
ArrowHead,197.25,0.458,100,64,36,175,251,0.25,0.67,10
ArrowHead,206.23,0.374,100,66.8571,36,175,251,0.25,0.67,10
ArrowHead,201.54,0.414,100,69.1429,36,175,251,0.25,0.67,10
ArrowHead,201.62,0.431,100,61.1429,36,175,251,0.25,0.67,10
ArrowHead,203.54,0.367,100,65.7143,36,175,251,0.25,0.67,10
ArrowHead,257.29,0.413,100,66.2857,36,175,251,0.25,0.67,10
ArrowHead,192.88,0.359,100,64.5714,36,175,251,0.25,0.67,10
ArrowHead,192.93,0.393,100,64.5714,36,175,251,0.25,0.67,10
ArrowHead,195.83,0.409,100,64.5714,36,175,251,0.25,0.67,10
ArrowHead,197.08,0.391,100,64,36,175,251,0.25,0.67,10
ArrowHead,198.8,0.435,100,66.8571,36,175,251,0.25,0.67,10
ArrowHead,200.63,0.369,100,68,36,175,251,0.25,0.67,10
ArrowHead,201.91,0.423,100,64,36,175,251,0.25,0.67,10
ArrowHead,197.92,0.344,100,70.2857,36,175,251,0.25,0.67,10
ArrowHead,201.67,0.369,100,64,36,175,251,0.25,0.67,10
ArrowHead,196.76,0.443,100,65.1429,36,175,251,0.25,0.67,10
ArrowHead,122.1,0.225,100,66.2857,36,175,251,0.25,0.67,10
ArrowHead,122.8,0.256,100,67.4286,36,175,251,0.25,0.67,10
ArrowHead,129.52,0.255,100,63.4286,36,175,251,0.25,0.67,10
ArrowHead,252.78,0.436,100,64,36,175,251,0.25,0.67,10
ArrowHead,188.52,0.44,100,68,36,175,251,0.25,0.67,10
ArrowHead,129.16,0.259,100,63.4286,36,175,251,0.25,0.67,10
ArrowHead,123.09,0.219,100,61.7143,36,175,251,0.25,0.67,10
ArrowHead,130.34,0.245,100,68.5714,36,175,251,0.25,0.67,10
ArrowHead,182.38,0.343,100,65.7143,36,175,251,0.25,0.67,10
ArrowHead,183.1,0.462,100,68.5714,36,175,251,0.25,0.67,10
ArrowHead,184.91,0.406,100,65.7143,36,175,251,0.25,0.67,10
ArrowHead,127.44,0.237,100,64,36,175,251,0.25,0.67,10
ArrowHead,244.59,0.372,100,65.7143,36,175,251,0.25,0.67,10
ArrowHead,186.15,0.397,100,66.8571,36,175,251,0.25,0.67,10
ArrowHead,199.64,0.4,100,64.5714,36,175,251,0.25,0.67,10
ArrowHead,192.6,0.413,100,68.5714,36,175,251,0.25,0.67,10
ArrowHead,199.29,0.449,100,70.2857,36,175,251,0.25,0.67,10
ArrowHead,202.37,0.373,100,66.8571,36,175,251,0.25,0.67,10
ArrowHead,202.66,0.473,100,66.2857,36,175,251,0.25,0.67,10
ArrowHead,192.26,0.362,100,68.5714,36,175,251,0.25,0.67,10
ArrowHead,196.44,0.406,100,69.1429,36,175,251,0.25,0.67,10
ArrowHead,206.45,0.396,100,64,36,175,251,0.25,0.67,10
ArrowHead,255.95,0.365,100,61.7143,36,175,251,0.25,0.67,10
ArrowHead,197.71,0.371,100,64,36,175,251,0.25,0.67,10
ArrowHead,244.61,0.386,100,67.4286,36,175,251,0.25,0.67,10
ArrowHead,199.73,0.363,100,64,36,175,251,0.25,0.67,10
ArrowHead,202.01,0.371,100,64.5714,36,175,251,0.25,0.67,10
ArrowHead,197.07,0.374,100,66.8571,36,175,251,0.25,0.67,10
ArrowHead,198.41,0.38,100,66.8571,36,175,251,0.25,0.67,10
ArrowHead,207.92,0.394,100,61.7143,36,175,251,0.25,0.67,10
ArrowHead,500.89,0.815,100,68,36,175,251,0.25,0.67,10
ArrowHead,426.1,0.87,100,65.7143,36,175,251,0.25,0.67,10
ArrowHead,401.79,0.76,100,62.2857,36,175,251,0.25,0.67,10
ArrowHead,490.03,0.823,100,68,36,175,251,0.25,0.67,10
ArrowHead,430.42,0.942,100,62.2857,36,175,251,0.25,0.67,10
ArrowHead,418.6,0.82,100,68.5714,36,175,251,0.25,0.67,10
Beef,965.9,0.255,100,56.6667,30,30,470,0.25,0.67,10
Beef,953.18,0.26,100,63.3333,30,30,470,0.25,0.67,10
Beef,971.21,0.237,100,63.3333,30,30,470,0.25,0.67,10
Beef,973.51,0.233,100,60,30,30,470,0.25,0.67,10
Beef,968.61,0.247,100,60,30,30,470,0.25,0.67,10
Beef,1021.45,0.23,100,56.6667,30,30,470,0.25,0.67,10
Beef,972.13,0.243,100,63.3333,30,30,470,0.25,0.67,10
Beef,1006.52,0.247,100,56.6667,30,30,470,0.25,0.67,10
Beef,988.31,0.258,100,56.6667,30,30,470,0.25,0.67,10
Beef,1014.45,0.247,100,53.3333,30,30,470,0.25,0.67,10
Beef,979.5,0.23,100,63.3333,30,30,470,0.25,0.67,10
Beef,1035.03,0.256,100,66.6667,30,30,470,0.25,0.67,10
Beef,1028.32,0.256,100,56.6667,30,30,470,0.25,0.67,10
Beef,998.94,0.245,100,60,30,30,470,0.25,0.67,10
Beef,1024.61,0.236,100,53.3333,30,30,470,0.25,0.67,10
Beef,1048.29,0.234,100,56.6667,30,30,470,0.25,0.67,10
Beef,965.55,0.259,100,50,30,30,470,0.25,0.67,10
Beef,1026.98,0.242,100,56.6667,30,30,470,0.25,0.67,10
Beef,977.68,0.248,100,63.3333,30,30,470,0.25,0.67,10
Beef,979.35,0.244,100,60,30,30,470,0.25,0.67,10
Beef,962.75,0.236,100,60,30,30,470,0.25,0.67,10
Beef,1018.5,0.24,100,60,30,30,470,0.25,0.67,10
Beef,1022.26,0.236,100,60,30,30,470,0.25,0.67,10
Beef,1024.14,0.26,100,60,30,30,470,0.25,0.67,10
Beef,961.45,0.241,100,66.6667,30,30,470,0.25,0.67,10
Beef,961.42,0.248,100,63.3333,30,30,470,0.25,0.67,10
Beef,968.94,0.256,100,63.3333,30,30,470,0.25,0.67,10
Beef,902.09,0.258,100,53.3333,30,30,470,0.25,0.67,10
Beef,1059.77,0.23,100,53.3333,30,30,470,0.25,0.67,10
Beef,1002.23,0.257,100,66.6667,30,30,470,0.25,0.67,10
Beef,1008.83,0.224,100,60,30,30,470,0.25,0.67,10
Beef,1059.72,0.245,100,66.6667,30,30,470,0.25,0.67,10
Beef,1009.97,0.241,100,70,30,30,470,0.25,0.67,10
Beef,950.56,0.25,100,60,30,30,470,0.25,0.67,10
Beef,985.43,0.248,100,63.3333,30,30,470,0.25,0.67,10
Beef,956.44,0.248,100,60,30,30,470,0.25,0.67,10
Beef,1018.23,0.245,100,63.3333,30,30,470,0.25,0.67,10
Beef,1034.09,0.247,100,70,30,30,470,0.25,0.67,10
Beef,1005.36,0.24,100,60,30,30,470,0.25,0.67,10
Beef,1029.33,0.241,100,63.3333,30,30,470,0.25,0.67,10
Beef,997.52,0.235,100,70,30,30,470,0.25,0.67,10
Beef,1054.77,0.244,100,60,30,30,470,0.25,0.67,10
Beef,1027.73,0.232,100,60,30,30,470,0.25,0.67,10
Beef,1029.54,0.242,100,63.3333,30,30,470,0.25,0.67,10
Beef,1002.47,0.253,100,60,30,30,470,0.25,0.67,10
Beef,1006.03,0.228,100,63.3333,30,30,470,0.25,0.67,10
Beef,985.44,0.259,100,50,30,30,470,0.25,0.67,10
Beef,999.48,0.24,100,60,30,30,470,0.25,0.67,10
Beef,1113.98,0.24,100,53.3333,30,30,470,0.25,0.67,10
Beef,1003.15,0.249,100,53.3333,30,30,470,0.25,0.67,10
Beef,1030.58,0.245,100,56.6667,30,30,470,0.25,0.67,10
Beef,999.27,0.248,100,73.3333,30,30,470,0.25,0.67,10
Beef,978.75,0.242,100,63.3333,30,30,470,0.25,0.67,10
Beef,978.45,0.244,100,63.3333,30,30,470,0.25,0.67,10
Beef,989.9,0.247,100,63.3333,30,30,470,0.25,0.67,10
Beef,1019.39,0.246,100,60,30,30,470,0.25,0.67,10
Beef,1014.93,0.238,100,66.6667,30,30,470,0.25,0.67,10
Beef,990.36,0.244,100,63.3333,30,30,470,0.25,0.67,10
Beef,1039.1,0.245,100,60,30,30,470,0.25,0.67,10
Beef,1022.93,0.238,100,63.3333,30,30,470,0.25,0.67,10
Beef,1033.85,0.229,100,60,30,30,470,0.25,0.67,10
Beef,1117.58,0.229,100,56.6667,30,30,470,0.25,0.67,10
