Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
50words,41012.21,4.892,100,69.011,450,455,270,0.25,0.67,10
50words,40890.43,5.006,100,69.6703,450,455,270,0.25,0.67,10
50words,41861.86,2.689,100,67.9121,450,455,270,0.25,0.67,10
50words,42407.42,2.7,100,69.4505,450,455,270,0.25,0.67,10
50words,42969.5,2.745,100,68.5714,450,455,270,0.25,0.67,10
50words,44341.17,4.967,100,70.3297,450,455,270,0.25,0.67,10
50words,45273.38,4.854,100,65.7143,450,455,270,0.25,0.67,10
50words,46156.94,4.866,100,69.4505,450,455,270,0.25,0.67,10
50words,46125.34,2.703,100,65.4945,450,455,270,0.25,0.67,10
50words,47143.75,3.433,100,67.4725,450,455,270,0.25,0.67,10
50words,47228.17,2.687,100,70.7692,450,455,270,0.25,0.67,10
50words,51769.66,4.951,100,67.4725,450,455,270,0.25,0.67,10
50words,52708.78,2.674,100,68.1319,450,455,270,0.25,0.67,10
50words,52984.86,4.917,100,69.2308,450,455,270,0.25,0.67,10
50words,53418.6,2.711,100,71.2088,450,455,270,0.25,0.67,10
50words,54942.05,4.887,100,69.4505,450,455,270,0.25,0.67,10
50words,55505.22,2.707,100,67.4725,450,455,270,0.25,0.67,10
50words,56255.64,2.687,100,70.3297,450,455,270,0.25,0.67,10
50words,57331.95,3.444,100,69.2308,450,455,270,0.25,0.67,10
50words,56891.9,4.903,100,68.3516,450,455,270,0.25,0.67,10
50words,57322.06,4.937,100,67.4725,450,455,270,0.25,0.67,10
50words,58185.85,3.491,100,68.3516,450,455,270,0.25,0.67,10
50words,57761.51,2.664,100,67.6923,450,455,270,0.25,0.67,10
50words,58000.57,2.7,100,68.5714,450,455,270,0.25,0.67,10
50words,59024.99,4.9,100,67.033,450,455,270,0.25,0.67,10
50words,59157.8,4.796,100,68.5714,450,455,270,0.25,0.67,10
50words,59466.14,3.487,100,67.4725,450,455,270,0.25,0.67,10
50words,59437.84,4.939,100,70.1099,450,455,270,0.25,0.67,10
50words,60486.43,2.67,100,68.3516,450,455,270,0.25,0.67,10
50words,61566.6,3.41,100,68.1319,450,455,270,0.25,0.67,10
50words,61328.32,4.909,100,69.2308,450,455,270,0.25,0.67,10
50words,61651.45,4.797,100,69.6703,450,455,270,0.25,0.67,10
50words,62920.5,3.451,100,69.2308,450,455,270,0.25,0.67,10
50words,62690.57,2.661,100,67.9121,450,455,270,0.25,0.67,10
50words,62956.59,3.476,100,67.9121,450,455,270,0.25,0.67,10
50words,63551.44,4.908,100,67.033,450,455,270,0.25,0.67,10
50words,62495.9,4.925,100,68.7912,450,455,270,0.25,0.67,10
50words,63532.07,3.443,100,70.1099,450,455,270,0.25,0.67,10
50words,64920.82,4.91,100,70.3297,450,455,270,0.25,0.67,10
50words,64666.97,4.91,100,70.7692,450,455,270,0.25,0.67,10
50words,65117.98,2.681,100,68.5714,450,455,270,0.25,0.67,10
50words,66384.48,4.965,100,70.7692,450,455,270,0.25,0.67,10
50words,67133.4,4.844,100,69.011,450,455,270,0.25,0.67,10
50words,67821.51,4.892,100,68.7912,450,455,270,0.25,0.67,10
50words,67816.4,4.981,100,70.1099,450,455,270,0.25,0.67,10
50words,67832.98,2.697,100,67.6923,450,455,270,0.25,0.67,10
50words,69171.28,5.001,100,70.7692,450,455,270,0.25,0.67,10
50words,69502.58,5.021,100,70.1099,450,455,270,0.25,0.67,10
50words,70213.15,5.051,100,67.2527,450,455,270,0.25,0.67,10
50words,70372.7,3.418,100,68.3516,450,455,270,0.25,0.67,10
50words,70914.49,4.868,100,69.011,450,455,270,0.25,0.67,10
50words,71436.29,5.059,100,67.033,450,455,270,0.25,0.67,10
50words,71633.37,4.94,100,69.8901,450,455,270,0.25,0.67,10
50words,72249.5,4.834,100,66.5934,450,455,270,0.25,0.67,10
50words,71860.42,3.492,100,69.4505,450,455,270,0.25,0.67,10
50words,71972.89,2.669,100,70.3297,450,455,270,0.25,0.67,10
50words,72847.91,4.866,100,67.4725,450,455,270,0.25,0.67,10
50words,72889.82,3.393,100,67.4725,450,455,270,0.25,0.67,10
50words,73757.71,4.98,100,68.7912,450,455,270,0.25,0.67,10
50words,74896,4.97,100,69.2308,450,455,270,0.25,0.67,10
50words,75992.6,3.438,100,68.3516,450,455,270,0.25,0.67,10
50words,75793.4,2.683,100,69.4505,450,455,270,0.25,0.67,10
50words,76678.25,3.459,100,70.3297,450,455,270,0.25,0.67,10
50words,76473.91,5.022,100,69.011,450,455,270,0.25,0.67,10
50words,77684.95,4.965,100,70.3297,450,455,270,0.25,0.67,10
50words,76996.93,2.685,100,69.2308,450,455,270,0.25,0.67,10
50words,77347.13,4.905,100,70.1099,450,455,270,0.25,0.67,10
50words,78513.07,2.612,100,69.4505,450,455,270,0.25,0.67,10
50words,79148.65,4.931,100,68.7912,450,455,270,0.25,0.67,10
50words,81957.9,4.975,100,68.3516,450,455,270,0.25,0.67,10
50words,84591.4,5.014,100,69.4505,450,455,270,0.25,0.67,10
50words,86057.44,4.907,100,67.033,450,455,270,0.25,0.67,10
50words,85169.27,4.919,100,68.1319,450,455,270,0.25,0.67,10
50words,86988.85,4.952,100,69.011,450,455,270,0.25,0.67,10
50words,88807.87,3.451,100,68.5714,450,455,270,0.25,0.67,10
50words,89913.54,4.954,100,66.3736,450,455,270,0.25,0.67,10
50words,93560.52,3.499,100,66.3736,450,455,270,0.25,0.67,10
50words,92816.82,3.568,100,66.8132,450,455,270,0.25,0.67,10
50words,97040.51,4.611,100,68.1319,450,455,270,0.25,0.67,10
50words,99092.65,4.488,100,67.9121,450,455,270,0.25,0.67,10
50words,101009.63,4.554,100,69.2308,450,455,270,0.25,0.67,10
50words,103550.37,4.958,100,67.033,450,455,270,0.25,0.67,10
50words,107860.23,4.923,100,69.8901,450,455,270,0.25,0.67,10
50words,111444.73,4.917,100,71.2088,450,455,270,0.25,0.67,10
50words,113178.63,4.472,100,69.4505,450,455,270,0.25,0.67,10
50words,112944.84,4.976,100,68.5714,450,455,270,0.25,0.67,10
50words,115916.99,5.013,100,66.5934,450,455,270,0.25,0.67,10
50words,117735.13,4.541,100,67.2527,450,455,270,0.25,0.67,10
50words,122328.57,4.492,100,70.5495,450,455,270,0.25,0.67,10
50words,126444.48,4.456,100,70.7692,450,455,270,0.25,0.67,10
50words,130341.07,3.492,100,67.9121,450,455,270,0.25,0.67,10
50words,131277.79,4.538,100,70.7692,450,455,270,0.25,0.67,10
