Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen
50words,1705.42,0.272,100,50.7692,450,455,270,0.25,0.67
50words,1859.45,0.269,100,48.3516,450,455,270,0.25,0.67
50words,1876.13,0.281,100,49.2308,450,455,270,0.25,0.67
50words,1976.94,0.267,100,48.5714,450,455,270,0.25,0.67
50words,2015.46,0.277,100,49.011,450,455,270,0.25,0.67
50words,1922.8,0.281,100,50.989,450,455,270,0.25,0.67
50words,2235.08,0.273,99.7778,43.956,450,455,270,0.25,0.67
50words,2529.5,0.499,100,51.2088,450,455,270,0.25,0.67
50words,2517.23,0.266,100,51.4286,450,455,270,0.25,0.67
50words,2665.18,0.261,99.7778,50.989,450,455,270,0.25,0.67
50words,2682.59,0.501,100,49.2308,450,455,270,0.25,0.67
50words,2733.07,0.282,100,48.5714,450,455,270,0.25,0.67
50words,2865.97,0.273,100,50.989,450,455,270,0.25,0.67
50words,2972.04,0.489,100,49.2308,450,455,270,0.25,0.67
50words,2904.46,0.272,100,47.2527,450,455,270,0.25,0.67
50words,2989.62,0.518,100,49.6703,450,455,270,0.25,0.67
50words,3000.9,0.27,100,49.4505,450,455,270,0.25,0.67
50words,3183.67,0.488,100,47.033,450,455,270,0.25,0.67
50words,3394.87,0.516,99.7778,51.2088,450,455,270,0.25,0.67
50words,3552.62,0.267,100,47.6923,450,455,270,0.25,0.67
50words,3537.5,0.274,100,49.4505,450,455,270,0.25,0.67
50words,3693.64,0.519,100,53.1868,450,455,270,0.25,0.67
50words,3710.43,0.27,100,47.033,450,455,270,0.25,0.67
50words,3647.68,0.506,100,50.7692,450,455,270,0.25,0.67
50words,3738.55,0.28,100,49.011,450,455,270,0.25,0.67
50words,3869.42,0.492,100,51.6484,450,455,270,0.25,0.67
50words,4102.39,0.501,100,48.3516,450,455,270,0.25,0.67
50words,4167.11,0.26,100,54.7253,450,455,270,0.25,0.67
50words,4208.07,0.271,100,50.1099,450,455,270,0.25,0.67
50words,4296.35,0.266,99.7778,48.5714,450,455,270,0.25,0.67
50words,4193.09,0.269,99.7778,47.033,450,455,270,0.25,0.67
50words,4335.01,0.262,100,49.011,450,455,270,0.25,0.67
50words,4247.97,0.509,100,50.7692,450,455,270,0.25,0.67
50words,4378.15,0.533,100,48.3516,450,455,270,0.25,0.67
50words,4466.64,0.363,100,47.2527,450,455,270,0.25,0.67
50words,4490.01,0.527,99.7778,44.8352,450,455,270,0.25,0.67
50words,4324.73,0.278,100,52.0879,450,455,270,0.25,0.67
50words,4525.38,0.5,100,47.9121,450,455,270,0.25,0.67
50words,4597.32,0.505,99.7778,49.2308,450,455,270,0.25,0.67
50words,4468.38,0.28,100,47.6923,450,455,270,0.25,0.67
50words,4552.72,0.491,100,55.8242,450,455,270,0.25,0.67
50words,4637.17,0.526,100,48.5714,450,455,270,0.25,0.67
50words,4713.15,0.361,100,51.4286,450,455,270,0.25,0.67
50words,4606.54,0.535,100,46.3736,450,455,270,0.25,0.67
50words,4615.47,0.28,100,49.2308,450,455,270,0.25,0.67
50words,4790.29,0.5,100,46.8132,450,455,270,0.25,0.67
50words,4717.97,0.496,100,50.1099,450,455,270,0.25,0.67
50words,5004.24,0.49,100,50.1099,450,455,270,0.25,0.67
50words,4818.36,0.548,100,46.8132,450,455,270,0.25,0.67
50words,5019.26,0.283,100,49.011,450,455,270,0.25,0.67
50words,5067.21,0.547,100,48.7912,450,455,270,0.25,0.67
50words,4959.29,0.472,100,49.2308,450,455,270,0.25,0.67
50words,5154.42,0.29,100,46.1538,450,455,270,0.25,0.67
50words,5114.78,0.513,100,46.8132,450,455,270,0.25,0.67
50words,5291.72,0.48,100,52.3077,450,455,270,0.25,0.67
50words,5281.82,0.271,100,50.1099,450,455,270,0.25,0.67
50words,5236.69,0.274,100,52.0879,450,455,270,0.25,0.67
50words,5483.02,0.351,100,48.7912,450,455,270,0.25,0.67
50words,5485.75,0.282,100,45.9341,450,455,270,0.25,0.67
50words,5483.75,0.512,99.7778,50.989,450,455,270,0.25,0.67
50words,5517.94,0.493,99.7778,49.011,450,455,270,0.25,0.67
50words,5695.76,0.361,100,51.2088,450,455,270,0.25,0.67
50words,5783.74,0.504,100,46.5934,450,455,270,0.25,0.67
50words,5982.77,0.525,100,49.6703,450,455,270,0.25,0.67
50words,6087.64,0.273,100,47.2527,450,455,270,0.25,0.67
50words,6106.85,0.532,100,49.011,450,455,270,0.25,0.67
50words,6153.27,0.379,100,48.7912,450,455,270,0.25,0.67
50words,6151.21,0.353,100,52.3077,450,455,270,0.25,0.67
50words,6244.38,0.472,100,49.4505,450,455,270,0.25,0.67
50words,6381.18,0.502,100,50.3297,450,455,270,0.25,0.67
50words,6514.12,0.528,100,43.956,450,455,270,0.25,0.67
50words,6671.78,0.453,100,50.7692,450,455,270,0.25,0.67
50words,6943.7,0.499,100,50.3297,450,455,270,0.25,0.67
50words,7124.74,0.497,100,48.5714,450,455,270,0.25,0.67
50words,7131.48,0.262,99.7778,47.2527,450,455,270,0.25,0.67
50words,7316.16,0.512,100,48.7912,450,455,270,0.25,0.67
50words,8451.21,0.348,99.7778,46.3736,450,455,270,0.25,0.67
50words,8535.8,0.53,100,50.1099,450,455,270,0.25,0.67
50words,9445.51,0.467,100,49.8901,450,455,270,0.25,0.67
50words,9970.52,0.526,100,48.3516,450,455,270,0.25,0.67
50words,9929.67,0.466,100,48.7912,450,455,270,0.25,0.67
50words,10650.07,0.511,100,45.4945,450,455,270,0.25,0.67
50words,10973.69,0.283,100,47.9121,450,455,270,0.25,0.67
50words,12510.57,0.443,99.7778,50.989,450,455,270,0.25,0.67
50words,13034.6,0.277,100,46.1538,450,455,270,0.25,0.67
50words,14214.41,0.469,100,50.989,450,455,270,0.25,0.67
