Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen
ItalyPowerDemand,0.25,0.0070,97.0149,82.6045,67,1029,25,16,8
ItalyPowerDemand,0.10,0.0070,95.5224,73.7609,67,1029,25,16,8
ItalyPowerDemand,0.15,0.0040,98.5075,76.9679,67,1029,25,16,8
ItalyPowerDemand,0.10,0.0040,97.0149,82.6045,67,1029,25,16,8
ItalyPowerDemand,0.06,0.0030,97.0149,85.4227,67,1029,25,16,8
ItalyPowerDemand,0.08,0.0050,98.5075,81.7298,67,1029,25,16,8
ItalyPowerDemand,0.05,0.0040,97.0149,63.0709,67,1029,25,16,8
ItalyPowerDemand,0.06,0.0040,97.0149,76.4820,67,1029,25,16,8
ItalyPowerDemand,0.07,0.0220,98.5075,83.7707,67,1029,25,16,8
ItalyPowerDemand,0.09,0.0050,98.5075,80.8552,67,1029,25,16,8
Adiac,5.88,0.0410,98.7179,53.7084,390,391,177,118,59
Adiac,5.73,0.0390,97.9487,51.4066,390,391,177,118,59
Adiac,5.67,0.0390,96.1538,49.3606,390,391,177,118,59
Adiac,5.70,0.0390,96.6667,54.7315,390,391,177,118,59
Adiac,5.78,0.0410,97.1795,53.1969,390,391,177,118,59
Adiac,5.74,0.0380,96.4103,53.1969,390,391,177,118,59
Adiac,5.70,0.0370,97.9487,51.6624,390,391,177,118,59
Adiac,5.82,0.0390,96.9231,49.1049,390,391,177,118,59
Adiac,5.77,0.0390,98.4615,55.2430,390,391,177,118,59
Adiac,5.71,0.0400,98.7179,55.4987,390,391,177,118,59
ArrowHead,0.46,0.0070,91.6667,62.8571,36,175,252,168,84
ArrowHead,0.46,0.0070,91.6667,61.7143,36,175,252,168,84
ArrowHead,0.47,0.0080,94.4444,68.5714,36,175,252,168,84
ArrowHead,0.46,0.0070,91.6667,61.7143,36,175,252,168,84
ArrowHead,0.46,0.0080,91.6667,64.0000,36,175,252,168,84
ArrowHead,0.46,0.0080,91.6667,61.7143,36,175,252,168,84
ArrowHead,0.46,0.0070,91.6667,61.7143,36,175,252,168,84
ArrowHead,0.46,0.0070,91.6667,64.0000,36,175,252,168,84
ArrowHead,0.46,0.0060,91.6667,61.7143,36,175,252,168,84
ArrowHead,0.46,0.0090,91.6667,61.7143,36,175,252,168,84
Beef,12.40,0.0070,100.0000,50.0000,30,30,471,314,157
Beef,12.41,0.0070,100.0000,50.0000,30,30,471,314,157
Beef,12.35,0.0060,100.0000,50.0000,30,30,471,314,157
Beef,12.36,0.0070,100.0000,50.0000,30,30,471,314,157
Beef,12.38,0.0070,100.0000,53.3333,30,30,471,314,157
Beef,12.49,0.0070,100.0000,50.0000,30,30,471,314,157
Beef,12.37,0.0070,100.0000,50.0000,30,30,471,314,157
Beef,12.44,0.0070,100.0000,50.0000,30,30,471,314,157
Beef,11.31,0.0070,100.0000,63.3333,30,30,471,314,157
Beef,12.38,0.0060,100.0000,50.0000,30,30,471,314,157
BeetleFly,0.74,0.0010,100.0000,60.0000,20,20,513,342,171
BeetleFly,0.73,0.0010,100.0000,70.0000,20,20,513,342,171
BeetleFly,0.76,0.0010,100.0000,60.0000,20,20,513,342,171
BeetleFly,0.74,0.0010,100.0000,70.0000,20,20,513,342,171
BeetleFly,0.74,0.0020,100.0000,85.0000,20,20,513,342,171
BeetleFly,0.74,0.0010,100.0000,85.0000,20,20,513,342,171
BeetleFly,0.74,0.0010,100.0000,85.0000,20,20,513,342,171
BeetleFly,0.74,0.0010,100.0000,60.0000,20,20,513,342,171
BeetleFly,0.73,0.0010,100.0000,60.0000,20,20,513,342,171
BeetleFly,0.74,0.0010,100.0000,60.0000,20,20,513,342,171
BirdChicken,0.87,0.0010,100.0000,75.0000,20,20,513,342,171
BirdChicken,0.87,0.0010,100.0000,50.0000,20,20,513,342,171
BirdChicken,0.87,0.0010,100.0000,65.0000,20,20,513,342,171
BirdChicken,0.88,0.0020,100.0000,85.0000,20,20,513,342,171
BirdChicken,0.88,0.0030,100.0000,55.0000,20,20,513,342,171
BirdChicken,0.88,0.0020,100.0000,75.0000,20,20,513,342,171
BirdChicken,0.87,0.0010,100.0000,85.0000,20,20,513,342,171
BirdChicken,0.88,0.0010,100.0000,60.0000,20,20,513,342,171
BirdChicken,0.87,0.0010,100.0000,75.0000,20,20,513,342,171
BirdChicken,0.88,0.0010,100.0000,85.0000,20,20,513,342,171
Car,36.64,0.0200,100.0000,68.3333,60,60,578,385,192
