Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
50words,5095.93,0.567,99.1111,59.7802,450,455,270,0.7,1,10
50words,7122.45,0.665,99.3333,63.2967,450,455,270,0.7,1,10
50words,4718.24,0.648,99.3333,62.4176,450,455,270,0.7,1,10
50words,8313.86,0.671,99.3333,64.3956,450,455,270,0.7,1,10
50words,7515.14,0.709,99.3333,62.1978,450,455,270,0.7,1,10
50words,5686.97,0.552,99.5556,61.7582,450,455,270,0.7,1,10
50words,8388.97,0.601,99.5556,64.3956,450,455,270,0.7,1,10
50words,6851.37,1.186,99.1111,59.5604,450,455,270,0.7,1,10
50words,8691.04,0.625,99.7778,62.4176,450,455,270,0.7,1,10
50words,9772.33,1.268,99.5556,61.978,450,455,270,0.7,1,10
50words,9343.32,0.705,99.1111,61.5385,450,455,270,0.7,1,10
50words,9848.3,1.218,99.5556,62.4176,450,455,270,0.7,1,10
50words,7539.16,1.132,100,63.2967,450,455,270,0.7,1,10
50words,6871.9,0.654,99.3333,63.5165,450,455,270,0.7,1,10
50words,10261.2,1.284,98.8889,61.5385,450,455,270,0.7,1,10
50words,8421.58,0.663,99.3333,65.2747,450,455,270,0.7,1,10
50words,11079.18,1.093,99.3333,63.5165,450,455,270,0.7,1,10
50words,9715.43,0.946,99.3333,61.0989,450,455,270,0.7,1,10
50words,6698.79,0.657,99.7778,60.6593,450,455,270,0.7,1,10
50words,4006.54,0.567,99.3333,61.978,450,455,270,0.7,1,10
50words,8385.01,0.757,99.7778,64.6154,450,455,270,0.7,1,10
50words,11562.09,1.356,99.5556,62.8571,450,455,270,0.7,1,10
50words,6010.52,0.634,98.8889,63.7363,450,455,270,0.7,1,10
50words,7276.69,0.723,99.5556,61.5385,450,455,270,0.7,1,10
50words,11261.41,1.242,99.1111,62.6374,450,455,270,0.7,1,10
50words,10613.42,1.236,99.5556,63.5165,450,455,270,0.7,1,10
50words,6566.38,1.153,99.5556,62.6374,450,455,270,0.7,1,10
50words,6533.36,1.244,100,61.5385,450,455,270,0.7,1,10
50words,12204.62,0.621,99.3333,63.0769,450,455,270,0.7,1,10
50words,9167.8,1.236,98.8889,62.1978,450,455,270,0.7,1,10
50words,6899.11,0.653,100,65.4945,450,455,270,0.7,1,10
50words,8127.81,0.731,99.5556,63.2967,450,455,270,0.7,1,10
50words,10125.46,0.783,99.3333,61.3187,450,455,270,0.7,1,10
50words,6616.5,1.203,99.7778,63.5165,450,455,270,0.7,1,10
50words,7140.05,0.687,99.5556,63.2967,450,455,270,0.7,1,10
50words,8620.46,0.688,99.3333,62.8571,450,455,270,0.7,1,10
50words,8511.79,0.818,99.7778,61.7582,450,455,270,0.7,1,10
50words,10372.19,0.736,99.3333,62.4176,450,455,270,0.7,1,10
50words,11690.98,1.287,99.1111,63.5165,450,455,270,0.7,1,10
50words,10933.15,0.692,99.1111,65.0549,450,455,270,0.7,1,10
50words,9923.98,0.731,99.1111,62.4176,450,455,270,0.7,1,10
50words,13724.35,1.177,99.3333,62.8571,450,455,270,0.7,1,10
50words,12384.3,1.321,99.3333,65.0549,450,455,270,0.7,1,10
50words,10401.1,0.72,98.4444,59.1209,450,455,270,0.7,1,10
50words,7381.82,0.614,99.3333,61.5385,450,455,270,0.7,1,10
50words,8631.84,0.759,99.5556,63.0769,450,455,270,0.7,1,10
50words,7670.73,0.754,99.7778,62.6374,450,455,270,0.7,1,10
50words,8777.43,0.637,99.3333,63.7363,450,455,270,0.7,1,10
50words,8799.13,1.352,99.3333,61.7582,450,455,270,0.7,1,10
50words,8524.49,0.742,99.3333,62.4176,450,455,270,0.7,1,10
50words,9736.26,1.296,98.8889,64.1758,450,455,270,0.7,1,10
50words,14066.72,1.249,99.7778,65.4945,450,455,270,0.7,1,10
50words,11342.84,0.731,98.4444,61.5385,450,455,270,0.7,1,10
50words,9238.83,0.587,99.5556,61.978,450,455,270,0.7,1,10
50words,11066.69,1.252,99.5556,61.5385,450,455,270,0.7,1,10
50words,9317.59,0.629,99.7778,61.7582,450,455,270,0.7,1,10
50words,6936.74,1.219,99.3333,63.5165,450,455,270,0.7,1,10
50words,8497.4,1.169,99.5556,64.3956,450,455,270,0.7,1,10
50words,9974.62,0.711,99.7778,63.956,450,455,270,0.7,1,10
50words,7428.45,0.632,99.3333,67.4725,450,455,270,0.7,1,10
50words,7904.63,1.118,99.1111,64.3956,450,455,270,0.7,1,10
50words,8086.04,1.332,99.1111,62.8571,450,455,270,0.7,1,10
50words,9552.41,0.845,100,63.5165,450,455,270,0.7,1,10
50words,8549.54,0.783,99.1111,61.3187,450,455,270,0.7,1,10
50words,12205.05,0.865,98.8889,62.1978,450,455,270,0.7,1,10
50words,12097.6,1.3,99.3333,62.4176,450,455,270,0.7,1,10
50words,8877.68,0.676,99.3333,60,450,455,270,0.7,1,10
50words,8696.25,1.137,99.5556,63.0769,450,455,270,0.7,1,10
50words,10389.21,0.74,99.5556,60.2198,450,455,270,0.7,1,10
50words,8510.04,1.284,99.5556,60.6593,450,455,270,0.7,1,10
50words,9157.36,0.708,99.5556,63.956,450,455,270,0.7,1,10
50words,10910.9,1.161,99.3333,62.8571,450,455,270,0.7,1,10
50words,12095.5,0.709,99.1111,63.2967,450,455,270,0.7,1,10
50words,14115.03,1.363,99.5556,64.3956,450,455,270,0.7,1,10
50words,10109.06,1.218,99.3333,61.5385,450,455,270,0.7,1,10
50words,11037.24,1.289,99.3333,62.1978,450,455,270,0.7,1,10
50words,9866.79,0.694,98.8889,64.3956,450,455,270,0.7,1,10
50words,12479.86,0.715,99.3333,63.956,450,455,270,0.7,1,10
50words,11692.58,1.389,98.6667,63.956,450,455,270,0.7,1,10
50words,11701.98,0.736,99.1111,64.3956,450,455,270,0.7,1,10
50words,11992.76,1.289,99.3333,64.1758,450,455,270,0.7,1,10
50words,11664.12,1.176,99.1111,65.9341,450,455,270,0.7,1,10
50words,10547.36,0.694,99.1111,63.0769,450,455,270,0.7,1,10
50words,14517.85,0.657,99.5556,61.7582,450,455,270,0.7,1,10
50words,11344.12,0.889,99.3333,61.7582,450,455,270,0.7,1,10
50words,13209.25,1.228,99.7778,62.1978,450,455,270,0.7,1,10
50words,12538.51,1.2,100,64.1758,450,455,270,0.7,1,10
50words,11509.82,1.263,99.3333,64.1758,450,455,270,0.7,1,10
50words,13246.69,1.305,99.5556,61.7582,450,455,270,0.7,1,10
50words,11279.53,1.378,98.6667,64.3956,450,455,270,0.7,1,10
50words,12622.15,1.242,99.3333,61.3187,450,455,270,0.7,1,10
50words,12694.88,1.234,98.8889,63.7363,450,455,270,0.7,1,10
50words,15462.11,1.443,99.3333,65.2747,450,455,270,0.7,1,10
50words,16160.36,1.226,100,62.6374,450,455,270,0.7,1,10
50words,15336.57,1.46,98.6667,64.1758,450,455,270,0.7,1,10
50words,16635.45,1.274,99.5556,62.8571,450,455,270,0.7,1,10
50words,17283.35,1.368,99.7778,62.4176,450,455,270,0.7,1,10
50words,19382.74,1.107,99.5556,64.1758,450,455,270,0.7,1,10
50words,22333.9,1.222,99.3333,63.0769,450,455,270,0.7,1,10
50words,21332.94,1.275,99.7778,63.956,450,455,270,0.7,1,10
Adiac,77.98,0.107,99.4872,57.0332,390,391,176,0.9,1,10
Adiac,72.96,0.103,99.2308,53.7084,390,391,176,0.9,1,10
Adiac,79.58,0.1,99.2308,55.4987,390,391,176,0.9,1,10
Adiac,80.4,0.104,98.7179,53.9642,390,391,176,0.9,1,10
Adiac,91.02,0.116,98.7179,57.5448,390,391,176,0.9,1,10
Adiac,78.16,0.103,99.2308,57.5448,390,391,176,0.9,1,10
Adiac,80.06,0.104,99.2308,53.4527,390,391,176,0.9,1,10
Adiac,73.14,0.11,98.9744,55.243,390,391,176,0.9,1,10
Adiac,76.69,0.102,98.9744,56.266,390,391,176,0.9,1,10
Adiac,109.67,0.192,98.7179,56.266,390,391,176,0.9,1,10
Adiac,77.58,0.109,99.4872,58.0563,390,391,176,0.9,1,10
Adiac,78.42,0.109,98.9744,56.7775,390,391,176,0.9,1,10
Adiac,80.63,0.105,99.4872,54.7315,390,391,176,0.9,1,10
Adiac,74.68,0.108,98.7179,57.8005,390,391,176,0.9,1,10
Adiac,81.53,0.107,99.7436,58.312,390,391,176,0.9,1,10
Adiac,95.06,0.107,99.4872,56.7775,390,391,176,0.9,1,10
Adiac,74.01,0.097,98.2051,56.7775,390,391,176,0.9,1,10
Adiac,75.89,0.108,99.4872,56.0102,390,391,176,0.9,1,10
Adiac,89.47,0.105,99.2308,60.6138,390,391,176,0.9,1,10
Adiac,91.1,0.102,99.4872,57.5448,390,391,176,0.9,1,10
Adiac,92.69,0.111,98.9744,56.5217,390,391,176,0.9,1,10
Adiac,98.24,0.106,99.4872,56.7775,390,391,176,0.9,1,10
Adiac,83.96,0.107,99.4872,56.266,390,391,176,0.9,1,10
Adiac,77.42,0.106,98.7179,58.312,390,391,176,0.9,1,10
Adiac,85.95,0.106,98.7179,57.0332,390,391,176,0.9,1,10
Adiac,75.9,0.101,98.9744,56.266,390,391,176,0.9,1,10
Adiac,93.13,0.105,98.7179,55.243,390,391,176,0.9,1,10
Adiac,88.2,0.107,98.7179,57.8005,390,391,176,0.9,1,10
Adiac,88.13,0.105,99.7436,52.9412,390,391,176,0.9,1,10
Adiac,70.25,0.098,98.7179,54.7315,390,391,176,0.9,1,10
Adiac,110.96,0.199,98.7179,57.5448,390,391,176,0.9,1,10
Adiac,73.73,0.103,97.9487,56.266,390,391,176,0.9,1,10
Adiac,84.6,0.108,99.2308,54.9872,390,391,176,0.9,1,10
Adiac,85.54,0.11,98.7179,57.0332,390,391,176,0.9,1,10
Adiac,77.92,0.105,100,56.7775,390,391,176,0.9,1,10
Adiac,76.67,0.1,100,56.7775,390,391,176,0.9,1,10
Adiac,70.87,0.103,99.2308,57.5448,390,391,176,0.9,1,10
Adiac,75.86,0.104,99.2308,54.2199,390,391,176,0.9,1,10
Adiac,93.89,0.102,99.7436,56.5217,390,391,176,0.9,1,10
Adiac,78.23,0.104,99.7436,54.4757,390,391,176,0.9,1,10
Adiac,85.42,0.105,98.9744,57.289,390,391,176,0.9,1,10
Adiac,87.37,0.106,99.2308,56.5217,390,391,176,0.9,1,10
Adiac,89.73,0.102,98.7179,55.7545,390,391,176,0.9,1,10
Adiac,79.08,0.105,98.7179,55.4987,390,391,176,0.9,1,10
Adiac,81.96,0.102,99.7436,57.289,390,391,176,0.9,1,10
Adiac,76.13,0.107,99.2308,59.5908,390,391,176,0.9,1,10
Adiac,86.16,0.106,98.9744,56.7775,390,391,176,0.9,1,10
Adiac,86.71,0.106,99.4872,56.5217,390,391,176,0.9,1,10
Adiac,102.75,0.19,99.2308,57.0332,390,391,176,0.9,1,10
Adiac,86.52,0.108,98.7179,58.0563,390,391,176,0.9,1,10
Adiac,70.75,0.102,99.2308,55.7545,390,391,176,0.9,1,10
