Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
50words,38608.78,0.94,100,65.0549,450,455,270,0.7,1,10
50words,40225.23,0.912,100,67.033,450,455,270,0.7,1,10
50words,42274.71,0.87,100,64.1758,450,455,270,0.7,1,10
50words,46561.95,1.614,100,67.2527,450,455,270,0.7,1,10
50words,46415.62,0.957,100,65.7143,450,455,270,0.7,1,10
50words,48291.11,1.196,100,67.4725,450,455,270,0.7,1,10
50words,50734.4,1.684,100,65.0549,450,455,270,0.7,1,10
50words,51866.26,0.868,100,64.3956,450,455,270,0.7,1,10
50words,48630.74,1.71,100,66.1538,450,455,270,0.7,1,10
50words,53002.13,1.548,100,65.9341,450,455,270,0.7,1,10
50words,53152.88,1.609,100,68.5714,450,455,270,0.7,1,10
50words,54495.33,1.004,100,67.033,450,455,270,0.7,1,10
50words,54780.1,1.839,100,65.9341,450,455,270,0.7,1,10
50words,49785.13,0.874,100,66.3736,450,455,270,0.7,1,10
50words,54146.77,0.908,100,67.2527,450,455,270,0.7,1,10
50words,51630.16,1.751,100,64.3956,450,455,270,0.7,1,10
50words,49123.35,0.91,100,65.2747,450,455,270,0.7,1,10
50words,54258.49,0.899,100,64.6154,450,455,270,0.7,1,10
50words,57899,0.917,100,67.6923,450,455,270,0.7,1,10
50words,57893.06,1.793,100,65.4945,450,455,270,0.7,1,10
50words,56488.87,1.725,100,67.6923,450,455,270,0.7,1,10
50words,59448.37,0.85,100,66.5934,450,455,270,0.7,1,10
50words,59464.91,1.716,100,67.033,450,455,270,0.7,1,10
50words,60374.06,1.107,100,67.033,450,455,270,0.7,1,10
50words,61043.9,1.144,100,65.9341,450,455,270,0.7,1,10
50words,61593.22,0.917,100,67.6923,450,455,270,0.7,1,10
50words,62781.55,1.248,100,62.4176,450,455,270,0.7,1,10
50words,53637.83,1.714,100,66.5934,450,455,270,0.7,1,10
50words,63627.55,1.795,100,66.8132,450,455,270,0.7,1,10
50words,62222.99,0.923,100,65.0549,450,455,270,0.7,1,10
50words,61543.35,1.206,100,67.9121,450,455,270,0.7,1,10
50words,57037.5,1.788,100,67.6923,450,455,270,0.7,1,10
50words,62477.43,1.808,100,65.9341,450,455,270,0.7,1,10
50words,63027.24,1.744,100,66.3736,450,455,270,0.7,1,10
50words,62336.98,1.668,100,67.2527,450,455,270,0.7,1,10
50words,68381.95,1.846,100,66.8132,450,455,270,0.7,1,10
50words,60165.61,1.717,100,67.4725,450,455,270,0.7,1,10
50words,67790.03,0.929,100,65.2747,450,455,270,0.7,1,10
