Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
50words,8744.76,0.838,100,66.3736,450,455,270,0.7,1,10
50words,12348.19,0.888,100,67.033,450,455,270,0.7,1,10
50words,10373.48,0.843,100,65.9341,450,455,270,0.7,1,10
50words,11536.79,0.876,100,68.1319,450,455,270,0.7,1,10
50words,13527.16,0.861,100,65.4945,450,455,270,0.7,1,10
50words,12756.88,0.904,100,64.3956,450,455,270,0.7,1,10
50words,13452.33,1.134,100,66.3736,450,455,270,0.7,1,10
50words,15274,0.941,100,66.3736,450,455,270,0.7,1,10
50words,15093.65,0.912,100,65.2747,450,455,270,0.7,1,10
50words,14206.08,1.645,100,67.4725,450,455,270,0.7,1,10
50words,15266.68,1.677,100,66.8132,450,455,270,0.7,1,10
50words,13418.36,0.991,100,68.1319,450,455,270,0.7,1,10
50words,15271.22,0.847,100,67.4725,450,455,270,0.7,1,10
50words,14619.05,0.91,100,66.3736,450,455,270,0.7,1,10
50words,15918.14,0.856,100,66.3736,450,455,270,0.7,1,10
50words,15699.22,1.012,100,65.2747,450,455,270,0.7,1,10
50words,14077.67,0.839,100,64.8352,450,455,270,0.7,1,10
50words,15032.21,1.631,100,68.7912,450,455,270,0.7,1,10
50words,16234.16,1.004,100,67.2527,450,455,270,0.7,1,10
50words,15771.35,0.89,100,64.1758,450,455,270,0.7,1,10
50words,14193,0.826,100,64.6154,450,455,270,0.7,1,10
50words,15350.34,0.782,100,66.5934,450,455,270,0.7,1,10
50words,17236.99,0.845,100,65.7143,450,455,270,0.7,1,10
50words,16402.68,0.936,100,65.2747,450,455,270,0.7,1,10
50words,16888.03,0.918,100,67.9121,450,455,270,0.7,1,10
50words,17122.61,0.911,100,66.5934,450,455,270,0.7,1,10
50words,14919.71,0.971,100,66.3736,450,455,270,0.7,1,10
50words,16822.58,0.942,100,65.9341,450,455,270,0.7,1,10
50words,16952.17,0.916,100,67.2527,450,455,270,0.7,1,10
50words,17021.65,0.949,100,65.0549,450,455,270,0.7,1,10
50words,18143.26,0.912,100,65.9341,450,455,270,0.7,1,10
50words,17840.74,1.795,100,67.2527,450,455,270,0.7,1,10
50words,16960.58,1.62,100,67.2527,450,455,270,0.7,1,10
50words,18160.28,0.899,100,66.5934,450,455,270,0.7,1,10
50words,17919.02,1.027,100,66.5934,450,455,270,0.7,1,10
50words,18018.59,1.63,100,64.6154,450,455,270,0.7,1,10
50words,16411.82,1.552,100,67.2527,450,455,270,0.7,1,10
50words,18303.37,1.697,100,69.011,450,455,270,0.7,1,10
50words,18317.63,0.885,100,65.2747,450,455,270,0.7,1,10
50words,17556.65,1.037,100,67.2527,450,455,270,0.7,1,10
50words,17976.22,0.866,100,66.1538,450,455,270,0.7,1,10
50words,17697.62,1.225,100,65.4945,450,455,270,0.7,1,10
50words,18294.78,1.75,100,66.8132,450,455,270,0.7,1,10
50words,18964.81,1.7,100,64.8352,450,455,270,0.7,1,10
50words,16740.9,0.936,100,67.4725,450,455,270,0.7,1,10
50words,17507.48,1.015,100,64.6154,450,455,270,0.7,1,10
50words,19291.05,1.64,100,64.1758,450,455,270,0.7,1,10
50words,18657.01,1.83,100,66.1538,450,455,270,0.7,1,10
50words,18340.33,1.72,100,67.9121,450,455,270,0.7,1,10
50words,17699.94,0.933,100,66.3736,450,455,270,0.7,1,10
50words,19227.08,1.779,100,65.2747,450,455,270,0.7,1,10
50words,20244.53,1.762,100,67.2527,450,455,270,0.7,1,10
50words,19891.95,1.597,100,65.4945,450,455,270,0.7,1,10
50words,19959.53,1.762,100,64.6154,450,455,270,0.7,1,10
50words,18282.01,1.674,100,67.6923,450,455,270,0.7,1,10
50words,18233.5,1.689,100,65.7143,450,455,270,0.7,1,10
50words,18992.33,1.802,100,68.1319,450,455,270,0.7,1,10
50words,18521.31,1.666,100,66.5934,450,455,270,0.7,1,10
50words,20230.83,1.625,100,67.6923,450,455,270,0.7,1,10
50words,19128.65,1.681,100,65.7143,450,455,270,0.7,1,10
50words,20197,0.952,100,66.1538,450,455,270,0.7,1,10
50words,21258.71,1.256,100,67.6923,450,455,270,0.7,1,10
50words,19520.08,1.724,100,66.1538,450,455,270,0.7,1,10
50words,20564.92,1.697,100,67.6923,450,455,270,0.7,1,10
50words,20451,1.589,100,66.8132,450,455,270,0.7,1,10
50words,19931.32,1.767,100,65.7143,450,455,270,0.7,1,10
50words,19214.17,0.916,100,67.4725,450,455,270,0.7,1,10
50words,21368.98,1.789,100,66.8132,450,455,270,0.7,1,10
50words,20198.28,0.921,100,65.0549,450,455,270,0.7,1,10
50words,22093.61,1.012,100,65.7143,450,455,270,0.7,1,10
50words,21948.1,1.158,100,66.3736,450,455,270,0.7,1,10
50words,21278.61,1.711,100,66.8132,450,455,270,0.7,1,10
50words,21402.53,1.694,100,67.4725,450,455,270,0.7,1,10
50words,22428.61,1.796,100,67.4725,450,455,270,0.7,1,10
50words,22908.84,1.638,100,64.8352,450,455,270,0.7,1,10
50words,22816.3,1.815,100,64.8352,450,455,270,0.7,1,10
50words,22260.51,1.644,100,67.033,450,455,270,0.7,1,10
50words,23009.94,1.719,100,67.4725,450,455,270,0.7,1,10
50words,23872.13,1.672,100,67.9121,450,455,270,0.7,1,10
50words,23150.02,1.623,100,66.1538,450,455,270,0.7,1,10
50words,23014.39,1.844,100,67.033,450,455,270,0.7,1,10
50words,22897.34,1.779,100,67.033,450,455,270,0.7,1,10
50words,22198.61,1.778,100,65.7143,450,455,270,0.7,1,10
50words,24588.05,1.789,100,65.0549,450,455,270,0.7,1,10
50words,22787.02,1.769,100,67.033,450,455,270,0.7,1,10
50words,25565.18,1.762,100,67.033,450,455,270,0.7,1,10
50words,25775.56,1.874,100,64.3956,450,455,270,0.7,1,10
50words,23805.46,0.953,100,64.6154,450,455,270,0.7,1,10
50words,26379.34,1.836,100,66.8132,450,455,270,0.7,1,10
50words,25242.13,1.791,100,66.5934,450,455,270,0.7,1,10
50words,26596.43,1.795,100,65.0549,450,455,270,0.7,1,10
50words,26685.88,1.256,100,66.3736,450,455,270,0.7,1,10
50words,26654.05,1.611,100,63.5165,450,455,270,0.7,1,10
50words,26442.19,1.499,100,65.4945,450,455,270,0.7,1,10
50words,31444.68,1.552,100,66.5934,450,455,270,0.7,1,10
50words,32229.09,1.375,100,67.4725,450,455,270,0.7,1,10
50words,38075.57,1.472,100,67.4725,450,455,270,0.7,1,10
50words,40106.45,1.547,100,65.9341,450,455,270,0.7,1,10
50words,40963.58,1.506,100,66.8132,450,455,270,0.7,1,10
50words,47971.57,1.596,100,66.3736,450,455,270,0.7,1,10
Adiac,124.01,0.127,100,60.1023,390,391,176,0.9,1,10
Adiac,146.76,0.124,100,59.335,390,391,176,0.9,1,10
Adiac,152.38,0.126,100,56.266,390,391,176,0.9,1,10
Adiac,116.89,0.133,100,60.1023,390,391,176,0.9,1,10
Adiac,110.78,0.131,100,58.8235,390,391,176,0.9,1,10
Adiac,114.27,0.125,100,56.7775,390,391,176,0.9,1,10
Adiac,114.42,0.129,100,59.335,390,391,176,0.9,1,10
Adiac,115.46,0.124,100,58.5678,390,391,176,0.9,1,10
Adiac,123.89,0.13,100,57.5448,390,391,176,0.9,1,10
Adiac,124.1,0.127,100,61.1253,390,391,176,0.9,1,10
Adiac,116.17,0.127,100,58.5678,390,391,176,0.9,1,10
Adiac,127.64,0.129,100,58.312,390,391,176,0.9,1,10
Adiac,119.88,0.124,100,62.6598,390,391,176,0.9,1,10
Adiac,128.09,0.131,100,55.7545,390,391,176,0.9,1,10
Adiac,119.8,0.129,100,60.1023,390,391,176,0.9,1,10
Adiac,129.3,0.129,100,58.312,390,391,176,0.9,1,10
Adiac,112.6,0.131,100,59.8465,390,391,176,0.9,1,10
Adiac,186.71,0.239,100,57.8005,390,391,176,0.9,1,10
