Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen
50words,800.55,0.1,100,51.2088,450,455,270,0.7,1
50words,837.61,0.098,100,51.4286,450,455,270,0.7,1
50words,710.75,0.156,100,49.6703,450,455,270,0.7,1
50words,865.91,0.096,100,48.1319,450,455,270,0.7,1
50words,806.48,0.125,100,49.011,450,455,270,0.7,1
50words,902.34,0.1,100,48.5714,450,455,270,0.7,1
50words,919,0.141,99.7778,49.4505,450,455,270,0.7,1
50words,694.65,0.173,100,53.1868,450,455,270,0.7,1
50words,702.76,0.162,100,47.9121,450,455,270,0.7,1
50words,779.37,0.097,100,52.3077,450,455,270,0.7,1
50words,918.64,0.081,100,47.9121,450,455,270,0.7,1
50words,957.27,0.151,100,53.1868,450,455,270,0.7,1
50words,915.63,0.099,100,50.989,450,455,270,0.7,1
50words,1044.59,0.182,100,52.7473,450,455,270,0.7,1
50words,995.79,0.109,100,47.9121,450,455,270,0.7,1
50words,940.41,0.093,100,50.989,450,455,270,0.7,1
50words,1016.76,0.076,100,50.3297,450,455,270,0.7,1
50words,932.3,0.1,100,49.8901,450,455,270,0.7,1
50words,1108.11,0.089,99.7778,51.4286,450,455,270,0.7,1
50words,930.24,0.151,100,52.0879,450,455,270,0.7,1
50words,1077.4,0.103,100,48.5714,450,455,270,0.7,1
50words,1084.99,0.186,100,52.5275,450,455,270,0.7,1
50words,1168.42,0.173,100,49.011,450,455,270,0.7,1
50words,1087.9,0.161,100,50.989,450,455,270,0.7,1
50words,1159.16,0.089,100,51.8681,450,455,270,0.7,1
50words,1222.57,0.089,100,48.5714,450,455,270,0.7,1
50words,1116.84,0.167,100,48.3516,450,455,270,0.7,1
50words,1145.84,0.113,100,49.011,450,455,270,0.7,1
50words,1338.91,0.182,100,50.3297,450,455,270,0.7,1
50words,1232.38,0.17,100,45.0549,450,455,270,0.7,1
50words,1236.37,0.105,100,51.2088,450,455,270,0.7,1
50words,1372.61,0.186,99.7778,49.6703,450,455,270,0.7,1
50words,1131.19,0.179,100,49.2308,450,455,270,0.7,1
50words,1330.09,0.109,100,49.4505,450,455,270,0.7,1
50words,1305.97,0.099,100,47.2527,450,455,270,0.7,1
50words,1328.49,0.169,100,45.9341,450,455,270,0.7,1
50words,1432.25,0.11,100,51.4286,450,455,270,0.7,1
50words,1591.04,0.09,100,51.6484,450,455,270,0.7,1
50words,1612.57,0.186,100,51.6484,450,455,270,0.7,1
50words,1496.23,0.193,100,46.1538,450,455,270,0.7,1
50words,1506.22,0.109,100,45.2747,450,455,270,0.7,1
50words,1397.96,0.17,100,49.4505,450,455,270,0.7,1
50words,1507.68,0.179,100,52.3077,450,455,270,0.7,1
50words,1509.14,0.173,100,49.4505,450,455,270,0.7,1
50words,1581.47,0.221,100,51.6484,450,455,270,0.7,1
50words,1538.58,0.198,100,50.3297,450,455,270,0.7,1
50words,1711.03,0.164,100,49.2308,450,455,270,0.7,1
