Dataset,TrainingTime,TestingTime,TrainingAccuacy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
CBF,2.78,0.5730,100.0000,96.1111,30,900,128,32,85,10
CBF,3.49,0.5860,100.0000,90.6667,30,900,128,32,85,10
CBF,2.64,0.5970,96.6667,93.8889,30,900,128,32,85,10
CBF,3.07,0.5650,100.0000,91.4444,30,900,128,32,85,10
CBF,2.92,0.5820,96.6667,94.1111,30,900,128,32,85,10
CBF,2.93,0.5860,100.0000,93.6667,30,900,128,32,85,10
CBF,3.14,0.5970,96.6667,87.7778,30,900,128,32,85,10
CBF,3.38,0.5400,100.0000,88.5556,30,900,128,32,85,10
CBF,2.68,0.5750,100.0000,94.8889,30,900,128,32,85,10
CBF,3.39,0.5460,100.0000,94.5556,30,900,128,32,85,10
Coffee,9.45,0.0570,100.0000,96.4286,28,28,286,71,190,10
Coffee,9.74,0.0550,100.0000,96.4286,28,28,286,71,190,10
Coffee,9.52,0.0500,100.0000,96.4286,28,28,286,71,190,10
Coffee,9.57,0.0590,100.0000,96.4286,28,28,286,71,190,10
Coffee,9.70,0.0500,100.0000,89.2857,28,28,286,71,190,10
Coffee,9.60,0.0540,100.0000,92.8571,28,28,286,71,190,10
Coffee,9.72,0.0600,100.0000,89.2857,28,28,286,71,190,10
Coffee,9.46,0.0530,100.0000,89.2857,28,28,286,71,190,10
Coffee,9.58,0.0640,100.0000,92.8571,28,28,286,71,190,10
Coffee,9.39,0.0580,100.0000,89.2857,28,28,286,71,190,10
DiatomSizeReduction,13.27,1.3690,93.7500,78.1046,16,306,345,86,230,10
DiatomSizeReduction,13.31,1.1230,100.0000,89.8693,16,306,345,86,230,10
DiatomSizeReduction,14.54,1.0680,100.0000,80.7190,16,306,345,86,230,10
DiatomSizeReduction,14.07,0.9340,100.0000,90.1961,16,306,345,86,230,10
DiatomSizeReduction,13.88,1.2080,100.0000,90.8497,16,306,345,86,230,10
DiatomSizeReduction,14.16,1.3050,100.0000,81.6993,16,306,345,86,230,10
DiatomSizeReduction,14.32,1.3220,100.0000,78.4314,16,306,345,86,230,10
DiatomSizeReduction,13.59,1.0970,100.0000,74.5098,16,306,345,86,230,10
DiatomSizeReduction,13.79,1.1140,100.0000,86.9281,16,306,345,86,230,10
DiatomSizeReduction,14.41,1.3820,100.0000,87.9085,16,306,345,86,230,10
ECGFiveDays,1.99,0.4760,100.0000,99.0708,23,861,136,34,90,10
ECGFiveDays,1.87,0.4530,100.0000,99.0708,23,861,136,34,90,10
ECGFiveDays,2.01,0.4220,100.0000,98.4901,23,861,136,34,90,10
ECGFiveDays,1.71,0.3840,95.6522,97.6771,23,861,136,34,90,10
ECGFiveDays,1.82,0.4050,100.0000,99.4193,23,861,136,34,90,10
ECGFiveDays,1.95,0.4710,100.0000,98.7224,23,861,136,34,90,10
ECGFiveDays,2.03,0.4750,100.0000,98.2578,23,861,136,34,90,10
ECGFiveDays,1.88,0.4280,100.0000,99.5354,23,861,136,34,90,10
ECGFiveDays,1.94,0.4480,100.0000,99.0708,23,861,136,34,90,10
ECGFiveDays,1.70,0.4200,100.0000,97.0964,23,861,136,34,90,10
