Dataset,TrainingTime,TestingTime,TrainingAccuacy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
MALLAT,8196.53,89.4280,100.0000,89.2964,55,2345,1024,256,682,10
MALLAT,8080.92,93.6850,100.0000,89.5522,55,2345,1024,256,682,10
MALLAT,8168.50,95.1990,100.0000,88.7846,55,2345,1024,256,682,10
MALLAT,8179.67,82.7860,100.0000,88.2729,55,2345,1024,256,682,10
MALLAT,8101.23,108.5850,100.0000,90.7889,55,2345,1024,256,682,10
MALLAT,8325.41,95.4580,100.0000,90.3198,55,2345,1024,256,682,10
MALLAT,8105.29,86.3300,100.0000,88.5714,55,2345,1024,256,682,10
MALLAT,8053.31,82.1590,100.0000,89.5096,55,2345,1024,256,682,10
MALLAT,8146.51,94.1650,100.0000,89.1684,55,2345,1024,256,682,10
MALLAT,8098.77,96.4420,100.0000,89.9787,55,2345,1024,256,682,10
CBF,3.77,0.5830,100.0000,91.2222,30,900,128,32,85,10
CBF,4.09,0.5850,100.0000,91.2222,30,900,128,32,85,10
CBF,4.13,0.5960,100.0000,91.6667,30,900,128,32,85,10
CBF,3.62,0.5700,100.0000,93.8889,30,900,128,32,85,10
CBF,3.85,0.5710,100.0000,93.6667,30,900,128,32,85,10
CBF,3.53,0.5470,100.0000,96.1111,30,900,128,32,85,10
CBF,4.10,0.5880,100.0000,96.5556,30,900,128,32,85,10
CBF,3.59,0.5880,100.0000,96.3333,30,900,128,32,85,10
CBF,4.04,0.5530,100.0000,90.4444,30,900,128,32,85,10
CBF,3.60,0.5580,100.0000,96.5556,30,900,128,32,85,10
Coffee,11.01,0.0550,100.0000,96.4286,28,28,286,71,190,10
Coffee,10.81,0.0530,100.0000,96.4286,28,28,286,71,190,10
Coffee,10.72,0.0710,100.0000,92.8571,28,28,286,71,190,10
Coffee,10.76,0.0590,100.0000,92.8571,28,28,286,71,190,10
Coffee,10.47,0.0480,100.0000,92.8571,28,28,286,71,190,10
Coffee,11.31,0.0520,100.0000,96.4286,28,28,286,71,190,10
Coffee,10.88,0.0590,100.0000,96.4286,28,28,286,71,190,10
Coffee,10.57,0.0630,100.0000,96.4286,28,28,286,71,190,10
Coffee,11.52,0.0530,100.0000,96.4286,28,28,286,71,190,10
Coffee,10.95,0.0590,100.0000,96.4286,28,28,286,71,190,10
DiatomSizeReduction,16.53,1.1670,100.0000,77.7778,16,306,345,86,230,10
DiatomSizeReduction,16.71,1.1610,100.0000,85.2941,16,306,345,86,230,10
DiatomSizeReduction,16.54,1.1130,100.0000,80.7190,16,306,345,86,230,10
DiatomSizeReduction,16.74,1.2660,100.0000,79.4118,16,306,345,86,230,10
DiatomSizeReduction,16.67,1.4620,100.0000,82.0261,16,306,345,86,230,10
DiatomSizeReduction,16.31,1.2170,100.0000,77.4510,16,306,345,86,230,10
DiatomSizeReduction,16.54,1.2420,100.0000,81.3725,16,306,345,86,230,10
DiatomSizeReduction,16.61,1.1730,100.0000,81.0458,16,306,345,86,230,10
DiatomSizeReduction,16.66,1.1650,100.0000,83.0065,16,306,345,86,230,10
DiatomSizeReduction,16.99,1.4600,100.0000,81.0458,16,306,345,86,230,10
ECGFiveDays,3.21,0.4930,100.0000,98.7224,23,861,136,34,90,10
ECGFiveDays,3.28,0.4920,100.0000,99.1870,23,861,136,34,90,10
ECGFiveDays,3.63,0.4900,100.0000,97.6771,23,861,136,34,90,10
ECGFiveDays,3.94,0.4900,100.0000,98.8386,23,861,136,34,90,10
ECGFiveDays,3.32,0.4950,100.0000,99.1870,23,861,136,34,90,10
ECGFiveDays,3.24,0.4940,100.0000,99.3031,23,861,136,34,90,10
ECGFiveDays,2.94,0.4790,100.0000,98.4901,23,861,136,34,90,10
ECGFiveDays,3.76,0.4890,100.0000,99.1870,23,861,136,34,90,10
ECGFiveDays,3.14,0.4790,100.0000,99.1870,23,861,136,34,90,10
ECGFiveDays,3.20,0.4950,100.0000,99.1870,23,861,136,34,90,10
FaceFour,42.66,0.5480,100.0000,88.6364,24,88,350,87,233,10
FaceFour,43.05,0.5230,100.0000,89.7727,24,88,350,87,233,10
FaceFour,43.57,0.6130,100.0000,92.0455,24,88,350,87,233,10
FaceFour,42.70,0.5530,100.0000,90.9091,24,88,350,87,233,10
FaceFour,42.76,0.5670,100.0000,92.0455,24,88,350,87,233,10
FaceFour,42.51,0.5040,100.0000,93.1818,24,88,350,87,233,10
FaceFour,42.88,0.5600,100.0000,92.0455,24,88,350,87,233,10
FaceFour,42.78,0.5560,100.0000,85.2273,24,88,350,87,233,10
FaceFour,42.51,0.5560,100.0000,92.0455,24,88,350,87,233,10
FaceFour,43.11,0.5740,100.0000,90.9091,24,88,350,87,233,10
ItalyPowerDemand,8.01,0.0760,100.0000,94.7522,67,1029,24,6,16,10
ItalyPowerDemand,7.76,0.0640,100.0000,95.3353,67,1029,24,6,16,10
ItalyPowerDemand,8.58,0.0700,100.0000,95.2381,67,1029,24,6,16,10
ItalyPowerDemand,7.81,0.0650,100.0000,95.0437,67,1029,24,6,16,10
ItalyPowerDemand,7.98,0.0630,100.0000,94.6550,67,1029,24,6,16,10
ItalyPowerDemand,6.94,0.0690,100.0000,95.6268,67,1029,24,6,16,10
ItalyPowerDemand,7.18,0.0600,100.0000,95.4325,67,1029,24,6,16,10
ItalyPowerDemand,8.73,0.0620,100.0000,96.5015,67,1029,24,6,16,10
ItalyPowerDemand,7.05,0.0640,100.0000,95.5296,67,1029,24,6,16,10
ItalyPowerDemand,8.80,0.0630,100.0000,94.1691,67,1029,24,6,16,10
MoteStrain,2.99,0.4390,100.0000,84.0256,20,1252,84,21,56,10
MoteStrain,2.72,0.4000,100.0000,85.3035,20,1252,84,21,56,10
MoteStrain,2.98,0.4240,100.0000,84.6645,20,1252,84,21,56,10
MoteStrain,2.61,0.4280,100.0000,86.5815,20,1252,84,21,56,10
MoteStrain,3.46,0.4030,100.0000,84.4249,20,1252,84,21,56,10
MoteStrain,2.80,0.4300,100.0000,83.5463,20,1252,84,21,56,10
MoteStrain,3.01,0.3980,100.0000,85.7029,20,1252,84,21,56,10
MoteStrain,2.56,0.4280,100.0000,86.1821,20,1252,84,21,56,10
MoteStrain,2.74,0.4390,100.0000,85.4633,20,1252,84,21,56,10
MoteStrain,2.75,0.4010,100.0000,87.0607,20,1252,84,21,56,10
ShapeletSim,759.38,1.2020,100.0000,83.8889,20,180,500,125,333,10
ShapeletSim,672.72,1.2080,100.0000,85.5556,20,180,500,125,333,10
ShapeletSim,784.94,1.1790,100.0000,81.6667,20,180,500,125,333,10
ShapeletSim,744.62,1.1730,100.0000,84.4444,20,180,500,125,333,10
ShapeletSim,751.10,1.1790,100.0000,85.0000,20,180,500,125,333,10
ShapeletSim,783.57,1.1890,100.0000,80.0000,20,180,500,125,333,10
ShapeletSim,657.85,1.2190,100.0000,84.4444,20,180,500,125,333,10
ShapeletSim,734.78,1.1880,100.0000,81.1111,20,180,500,125,333,10
