Dataset,TrainingTime,TestingTime,TrainingAccuacy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
CBF,2.75,0.5870,100.0000,94.4444,30,900,128,32,85,10
CBF,2.81,0.5330,100.0000,92.2222,30,900,128,32,85,10
CBF,2.94,0.5480,100.0000,91.1111,30,900,128,32,85,10
CBF,3.28,0.5930,100.0000,90.8889,30,900,128,32,85,10
CBF,3.15,0.5850,100.0000,96.7778,30,900,128,32,85,10
CBF,2.88,0.5450,100.0000,94.5556,30,900,128,32,85,10
CBF,2.71,0.5840,100.0000,94.7778,30,900,128,32,85,10
CBF,2.97,0.6030,100.0000,92.6667,30,900,128,32,85,10
CBF,3.09,0.6120,100.0000,91.0000,30,900,128,32,85,10
CBF,2.84,0.5660,100.0000,90.6667,30,900,128,32,85,10
Coffee,9.90,0.0630,100.0000,96.4286,28,28,286,71,190,10
Coffee,9.83,0.0500,100.0000,96.4286,28,28,286,71,190,10
Coffee,9.79,0.0620,100.0000,92.8571,28,28,286,71,190,10
Coffee,10.07,0.0560,100.0000,92.8571,28,28,286,71,190,10
Coffee,10.08,0.0500,100.0000,96.4286,28,28,286,71,190,10
Coffee,9.96,0.0540,100.0000,96.4286,28,28,286,71,190,10
Coffee,9.98,0.0590,100.0000,92.8571,28,28,286,71,190,10
Coffee,9.76,0.0460,100.0000,96.4286,28,28,286,71,190,10
Coffee,10.00,0.0570,100.0000,92.8571,28,28,286,71,190,10
Coffee,10.11,0.0570,100.0000,92.8571,28,28,286,71,190,10
DiatomSizeReduction,15.75,1.2320,100.0000,81.6993,16,306,345,86,230,10
DiatomSizeReduction,15.74,1.2330,100.0000,81.0458,16,306,345,86,230,10
DiatomSizeReduction,15.65,0.9920,100.0000,82.0261,16,306,345,86,230,10
DiatomSizeReduction,15.79,1.4040,100.0000,81.3725,16,306,345,86,230,10
DiatomSizeReduction,15.79,1.1900,100.0000,88.5621,16,306,345,86,230,10
DiatomSizeReduction,15.86,1.2300,100.0000,79.7386,16,306,345,86,230,10
DiatomSizeReduction,15.63,1.0740,100.0000,80.3922,16,306,345,86,230,10
DiatomSizeReduction,15.55,1.1570,100.0000,79.0850,16,306,345,86,230,10
DiatomSizeReduction,15.74,1.3150,100.0000,80.3922,16,306,345,86,230,10
DiatomSizeReduction,15.93,1.1680,100.0000,79.4118,16,306,345,86,230,10
ECGFiveDays,2.57,0.4890,100.0000,98.8386,23,861,136,34,90,10
ECGFiveDays,2.72,0.4910,100.0000,99.1870,23,861,136,34,90,10
ECGFiveDays,2.79,0.4920,100.0000,98.0256,23,861,136,34,90,10
ECGFiveDays,2.44,0.4910,100.0000,97.2125,23,861,136,34,90,10
ECGFiveDays,2.52,0.4880,100.0000,99.1870,23,861,136,34,90,10
ECGFiveDays,2.63,0.4910,100.0000,99.3031,23,861,136,34,90,10
ECGFiveDays,2.72,0.4890,100.0000,98.3740,23,861,136,34,90,10
ECGFiveDays,2.70,0.5000,100.0000,98.2578,23,861,136,34,90,10
ECGFiveDays,2.63,0.4960,100.0000,99.1870,23,861,136,34,90,10
ECGFiveDays,2.47,0.4920,100.0000,99.3031,23,861,136,34,90,10
FaceFour,41.21,0.5540,100.0000,90.9091,24,88,350,87,233,10
FaceFour,40.95,0.5650,100.0000,93.1818,24,88,350,87,233,10
FaceFour,40.78,0.5530,100.0000,93.1818,24,88,350,87,233,10
FaceFour,40.74,0.5800,100.0000,88.6364,24,88,350,87,233,10
FaceFour,40.86,0.5670,100.0000,92.0455,24,88,350,87,233,10
FaceFour,41.23,0.5650,100.0000,92.0455,24,88,350,87,233,10
FaceFour,40.99,0.5980,100.0000,85.2273,24,88,350,87,233,10
FaceFour,41.06,0.5850,100.0000,90.9091,24,88,350,87,233,10
FaceFour,40.67,0.5450,100.0000,93.1818,24,88,350,87,233,10
FaceFour,41.00,0.5610,100.0000,92.0455,24,88,350,87,233,10
ItalyPowerDemand,4.68,0.0710,100.0000,95.0437,67,1029,24,6,16,10
ItalyPowerDemand,5.10,0.0750,100.0000,94.1691,67,1029,24,6,16,10
ItalyPowerDemand,4.45,0.0750,100.0000,95.0437,67,1029,24,6,16,10
ItalyPowerDemand,4.73,0.0690,100.0000,95.6268,67,1029,24,6,16,10
ItalyPowerDemand,5.20,0.0640,100.0000,94.0719,67,1029,24,6,16,10
ItalyPowerDemand,5.10,0.0730,100.0000,95.5296,67,1029,24,6,16,10
ItalyPowerDemand,4.88,0.0640,100.0000,95.6268,67,1029,24,6,16,10
ItalyPowerDemand,4.85,0.0720,100.0000,95.9184,67,1029,24,6,16,10
ItalyPowerDemand,5.41,0.0780,100.0000,96.0155,67,1029,24,6,16,10
ItalyPowerDemand,5.41,0.0730,100.0000,95.8212,67,1029,24,6,16,10
MoteStrain,1.98,0.4110,100.0000,83.9457,20,1252,84,21,56,10
MoteStrain,2.17,0.4120,100.0000,86.6613,20,1252,84,21,56,10
