Dataset,TrainingTime,TestingTime,TrainingAccuacy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen
Adiac,266.43,0.1320,100.0000,49.8721,390,391,176,44,117
Adiac,387.75,0.1410,100.0000,49.1049,390,391,176,44,117
Adiac,284.50,0.1560,100.0000,45.2685,390,391,176,44,117
Adiac,297.95,0.1150,100.0000,48.3376,390,391,176,44,117
Adiac,301.48,0.1680,100.0000,46.5473,390,391,176,44,117
Adiac,259.48,0.1370,100.0000,49.6164,390,391,176,44,117
Adiac,263.08,0.1300,100.0000,50.3836,390,391,176,44,117
Adiac,269.57,0.1500,100.0000,49.3606,390,391,176,44,117
Adiac,280.74,0.1420,100.0000,46.2916,390,391,176,44,117
Adiac,339.53,0.1490,100.0000,48.5934,390,391,176,44,117
ArrowHead,14.95,0.0500,100.0000,65.1429,36,175,251,62,167
ArrowHead,18.93,0.0340,100.0000,65.7143,36,175,251,62,167
ArrowHead,17.21,0.0420,100.0000,65.7143,36,175,251,62,167
ArrowHead,21.90,0.0370,100.0000,52.0000,36,175,251,62,167
ArrowHead,18.96,0.0250,100.0000,61.7143,36,175,251,62,167
ArrowHead,19.09,0.0350,100.0000,60.5714,36,175,251,62,167
ArrowHead,17.15,0.0410,100.0000,64.0000,36,175,251,62,167
ArrowHead,18.84,0.0330,100.0000,65.7143,36,175,251,62,167
ArrowHead,20.98,0.0540,100.0000,64.5714,36,175,251,62,167
ArrowHead,19.92,0.0290,100.0000,61.1429,36,175,251,62,167
Beef,158.01,0.0400,100.0000,50.0000,30,30,470,117,313
Beef,140.39,0.0530,100.0000,46.6667,30,30,470,117,313
Beef,156.56,0.0490,100.0000,56.6667,30,30,470,117,313
Beef,196.75,0.0430,100.0000,53.3333,30,30,470,117,313
Beef,208.58,0.0500,100.0000,53.3333,30,30,470,117,313
Beef,164.19,0.0480,100.0000,63.3333,30,30,470,117,313
Beef,163.36,0.0480,100.0000,53.3333,30,30,470,117,313
Beef,167.65,0.0470,100.0000,63.3333,30,30,470,117,313
Beef,162.84,0.0430,100.0000,60.0000,30,30,470,117,313
Beef,161.38,0.0480,100.0000,56.6667,30,30,470,117,313
BeetleFly,28.01,0.0100,100.0000,80.0000,20,20,512,128,341
BeetleFly,27.64,0.0100,100.0000,75.0000,20,20,512,128,341
BeetleFly,7.51,0.0120,100.0000,65.0000,20,20,512,128,341
BeetleFly,32.49,0.0100,100.0000,75.0000,20,20,512,128,341
BeetleFly,30.41,0.0100,100.0000,65.0000,20,20,512,128,341
BeetleFly,29.05,0.0100,100.0000,75.0000,20,20,512,128,341
BeetleFly,28.50,0.0100,100.0000,75.0000,20,20,512,128,341
BeetleFly,7.47,0.0120,100.0000,65.0000,20,20,512,128,341
BeetleFly,28.26,0.0150,100.0000,65.0000,20,20,512,128,341
BeetleFly,28.20,0.0150,100.0000,65.0000,20,20,512,128,341
BirdChicken,82.46,0.0170,100.0000,65.0000,20,20,512,128,341
BirdChicken,67.75,0.0060,100.0000,90.0000,20,20,512,128,341
BirdChicken,66.88,0.0060,100.0000,90.0000,20,20,512,128,341
BirdChicken,67.15,0.0060,100.0000,90.0000,20,20,512,128,341
BirdChicken,67.50,0.0060,100.0000,90.0000,20,20,512,128,341
BirdChicken,57.08,0.0070,100.0000,65.0000,20,20,512,128,341
BirdChicken,67.31,0.0060,100.0000,85.0000,20,20,512,128,341
BirdChicken,70.92,0.0060,100.0000,60.0000,20,20,512,128,341
BirdChicken,83.28,0.0190,100.0000,75.0000,20,20,512,128,341
BirdChicken,58.26,0.0070,100.0000,65.0000,20,20,512,128,341
CBF,1.06,0.0580,100.0000,94.5556,30,900,128,32,85
CBF,0.99,0.0570,100.0000,95.1111,30,900,128,32,85
CBF,0.98,0.0580,100.0000,86.8889,30,900,128,32,85
CBF,1.09,0.0560,100.0000,90.8889,30,900,128,32,85
CBF,1.24,0.0660,100.0000,81.7778,30,900,128,32,85
CBF,0.85,0.0550,100.0000,89.2222,30,900,128,32,85
CBF,0.85,0.0560,100.0000,84.2222,30,900,128,32,85
CBF,0.86,0.0500,100.0000,85.7778,30,900,128,32,85
CBF,1.05,0.0670,100.0000,94.2222,30,900,128,32,85
CBF,0.91,0.0550,100.0000,88.2222,30,900,128,32,85
Car,1089.60,0.0570,100.0000,75.0000,60,60,577,144,384
Car,1012.00,0.0640,100.0000,71.6667,60,60,577,144,384
Car,977.42,0.0620,100.0000,71.6667,60,60,577,144,384
Car,989.64,0.0560,100.0000,78.3333,60,60,577,144,384
Car,1003.31,0.0690,100.0000,81.6667,60,60,577,144,384
Car,1062.86,0.0570,100.0000,73.3333,60,60,577,144,384
Car,997.84,0.0660,100.0000,75.0000,60,60,577,144,384
Car,1004.68,0.0560,100.0000,73.3333,60,60,577,144,384
Car,1087.37,0.0310,100.0000,83.3333,60,60,577,144,384
Car,938.24,0.0530,100.0000,78.3333,60,60,577,144,384
Coffee,1.60,0.0050,100.0000,89.2857,28,28,286,71,190
Coffee,1.56,0.0050,100.0000,89.2857,28,28,286,71,190
Coffee,1.71,0.0070,100.0000,92.8571,28,28,286,71,190
Coffee,1.77,0.0060,100.0000,92.8571,28,28,286,71,190
