Dataset,TrainingTime,TestingTime,TrainingAccuacy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen
ItalyPowerDemand,6.56,0.0050,100.0000,95.2381,67,1029,24,0.300000,0.600000
CBF,6.08,0.0380,100.0000,93.8889,30,900,128,0.025000,0.200000
Coffee,21.31,0.0020,100.0000,89.2857,28,28,286,0.025000,0.200000
ECGFiveDays,4.47,0.0290,100.0000,99.6516,23,861,136,0.025000,0.300000
MoteStrain,1.40,0.0170,100.0000,84.7444,20,1252,84,0.025000,0.200000
SonyAIBORobotSurface,1.63,0.0080,100.0000,93.1780,20,601,70,0.025000,0.400000
SonyAIBORobotSurfaceII,2.63,0.0090,100.0000,83.0010,27,953,65,0.025000,0.400000
TwoLeadECG,1.78,0.0180,100.0000,96.1370,23,1139,82,0.025000,0.300000
BeetleFly,26.83,0.0030,100.0000,95.0000,20,20,512,0.025000,0.100000
DiatomSizeReduction,3.07,0.0040,100.0000,89.2157,16,306,345,0.900000,1.000000
FaceFour,298.04,0.0530,100.0000,85.2273,24,88,350,0.300000,0.600000
Gun_Point,15.17,0.0050,100.0000,93.3333,50,150,150,0.025000,0.300000
Plane,192.91,0.0090,100.0000,95.2381,105,105,144,0.200000,0.500000
Symbols,10.64,0.0260,100.0000,88.1407,25,995,398,0.900000,1.000000
ToeSegmentation1,39.24,0.0190,100.0000,92.5439,40,228,277,0.025000,0.200000
Trace,616.67,0.0310,100.0000,100.0000,100,100,275,0.025000,0.300000
ArrowHead,47.59,0.0110,100.0000,68.5714,36,175,251,0.900000,1.000000
BirdChicken,34.87,0.0040,100.0000,85.0000,20,20,512,0.025000,0.100000
ECG200,151.01,0.0020,100.0000,86.0000,100,100,96,0.900000,1.000000
FacesUCR,6607.69,0.4820,100.0000,65.3659,200,2050,131,0.300000,0.600000
ProximalPhalanxTW,822.02,0.0060,99.5122,72.7500,205,400,80,0.900000,1.000000
Car,21563.14,0.0470,100.0000,85.0000,60,60,577,0.025000,0.300000
DistalPhalanxOutlineCorrect,10362.51,0.0150,99.6377,77.6667,276,600,80,0.900000,1.000000
Meat,100.08,0.0050,100.0000,86.6667,60,60,448,0.900000,1.000000
OliveOil,1644.93,0.0160,100.0000,86.6667,30,30,570,0.025000,0.400000
ShapeletSim,228.46,0.0830,100.0000,92.7778,20,180,500,0.025000,0.200000
Herring,9346.05,0.0140,100.0000,70.3125,64,64,512,0.025000,0.100000
SwedishLeaf,9105.45,0.0260,100.0000,72.1600,500,625,128,0.800000,1.000000
synthetic_control,1105.92,0.0050,100.0000,92.0000,300,300,60,0.700000,1.000000
Adiac,924.52,0.0150,100.0000,46.0358,390,391,176,0.900000,1.000000
Beef,1215.71,0.0130,100.0000,56.6667,30,30,470,0.025000,0.200000
DistalPhalanxOutlineAgeGroup,9128.92,0.0160,100.0000,79.0000,139,400,80,0.700000,1.000000
FaceAll,37191.35,0.3080,100.0000,58.8757,560,1690,131,0.200000,0.500000
MALLAT,7896.03,0.1880,100.0000,86.3966,55,2345,1024,0.800000,1.000000
InsectWingbeatSound,1974.83,0.1970,100.0000,50.3030,220,1980,256,0.900000,1.000000
DistalPhalanxTW,23722.28,0.0210,100.0000,73.2500,139,400,80,0.600000,1.000000
MiddlePhalanxOutlineCorrect,10376.57,0.0090,99.6564,67.8333,291,600,80,0.900000,1.000000
Lighting7,14803.86,0.0440,100.0000,63.0137,70,73,319,0.600000,1.000000
MiddlePhalanxTW,1513.91,0.0040,100.0000,59.3985,154,399,80,0.900000,1.000000
Lighting2,5584.50,0.0260,100.0000,78.6885,60,61,637,0.900000,1.000000
MiddlePhalanxOutlineAgeGroup,15552.39,0.0140,100.0000,74.2500,154,400,80,0.700000,1.000000
ToeSegmentation2,169.82,0.0250,100.0000,73.8462,36,130,343,0.025000,0.400000
Wine,5144.73,0.0080,100.0000,77.7778,57,54,234,0.025000,0.400000
50words,162059.58,0.1830,100.0000,48.1319,450,455,270,0.700000,1.000000
FISH,181861.59,0.0870,100.0000,82.2857,175,175,463,0.025000,0.200000
