Dataset,TrainingTime,TestingTime,TrainingAccuacy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
ItalyPowerDemand,3.08,0.1130,100.0000,94.3635,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,3.29,0.1100,100.0000,94.7522,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,2.90,0.1210,100.0000,95.4325,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,3.56,0.1170,100.0000,93.2945,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,3.03,0.1050,100.0000,94.6550,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,3.00,0.1050,100.0000,95.5296,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,3.05,0.1060,100.0000,95.5296,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,3.02,0.1050,100.0000,94.2663,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,3.20,0.0980,100.0000,93.1001,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,2.83,0.1030,100.0000,95.0437,67,1029,24,0.300000,0.600000,10
CBF,2.14,0.3110,100.0000,95.2222,30,900,128,0.025000,0.200000,10
CBF,2.09,0.3240,100.0000,93.8889,30,900,128,0.025000,0.200000,10
CBF,2.38,0.3360,100.0000,94.2222,30,900,128,0.025000,0.200000,10
CBF,2.15,0.3350,100.0000,96.0000,30,900,128,0.025000,0.200000,10
CBF,2.83,0.3400,100.0000,94.5556,30,900,128,0.025000,0.200000,10
CBF,1.85,0.3100,96.6667,87.5556,30,900,128,0.025000,0.200000,10
CBF,2.27,0.3280,100.0000,91.0000,30,900,128,0.025000,0.200000,10
CBF,2.28,0.3090,96.6667,95.0000,30,900,128,0.025000,0.200000,10
CBF,2.10,0.3000,100.0000,93.7778,30,900,128,0.025000,0.200000,10
CBF,2.03,0.3270,100.0000,90.1111,30,900,128,0.025000,0.200000,10
Coffee,3.21,0.0230,100.0000,89.2857,28,28,286,0.025000,0.200000,10
Coffee,3.21,0.0220,100.0000,89.2857,28,28,286,0.025000,0.200000,10
Coffee,2.89,0.0220,100.0000,92.8571,28,28,286,0.025000,0.200000,10
Coffee,2.93,0.0240,100.0000,89.2857,28,28,286,0.025000,0.200000,10
Coffee,3.19,0.0260,100.0000,89.2857,28,28,286,0.025000,0.200000,10
Coffee,3.25,0.0230,100.0000,96.4286,28,28,286,0.025000,0.200000,10
Coffee,3.04,0.0240,100.0000,92.8571,28,28,286,0.025000,0.200000,10
Coffee,3.13,0.0290,100.0000,89.2857,28,28,286,0.025000,0.200000,10
Coffee,3.02,0.0260,100.0000,89.2857,28,28,286,0.025000,0.200000,10
Coffee,3.08,0.0250,100.0000,89.2857,28,28,286,0.025000,0.200000,10
ECGFiveDays,1.53,0.4980,100.0000,99.5354,23,861,136,0.025000,0.300000,10
ECGFiveDays,1.57,0.4720,100.0000,100.0000,23,861,136,0.025000,0.300000,10
ECGFiveDays,1.30,0.2750,100.0000,100.0000,23,861,136,0.025000,0.300000,10
ECGFiveDays,1.18,0.4730,100.0000,100.0000,23,861,136,0.025000,0.300000,10
ECGFiveDays,1.40,0.4730,100.0000,100.0000,23,861,136,0.025000,0.300000,10
ECGFiveDays,1.33,0.4760,100.0000,99.8839,23,861,136,0.025000,0.300000,10
ECGFiveDays,1.42,0.4710,100.0000,99.8839,23,861,136,0.025000,0.300000,10
ECGFiveDays,1.27,0.2770,100.0000,100.0000,23,861,136,0.025000,0.300000,10
ECGFiveDays,1.69,0.5240,100.0000,99.6516,23,861,136,0.025000,0.300000,10
ECGFiveDays,1.57,0.4960,100.0000,100.0000,23,861,136,0.025000,0.300000,10
MoteStrain,1.20,0.2760,100.0000,89.1374,20,1252,84,0.025000,0.200000,10
MoteStrain,1.08,0.2950,100.0000,91.3738,20,1252,84,0.025000,0.200000,10
MoteStrain,1.21,0.2830,100.0000,91.1342,20,1252,84,0.025000,0.200000,10
MoteStrain,1.05,0.2640,100.0000,86.1022,20,1252,84,0.025000,0.200000,10
MoteStrain,1.25,0.2990,100.0000,89.2173,20,1252,84,0.025000,0.200000,10
MoteStrain,1.06,0.2900,100.0000,89.9361,20,1252,84,0.025000,0.200000,10
MoteStrain,1.30,0.2580,100.0000,86.5815,20,1252,84,0.025000,0.200000,10
MoteStrain,1.03,0.3070,100.0000,91.0543,20,1252,84,0.025000,0.200000,10
MoteStrain,1.19,0.2460,100.0000,89.0575,20,1252,84,0.025000,0.200000,10
MoteStrain,1.10,0.2780,100.0000,90.1757,20,1252,84,0.025000,0.200000,10
SonyAIBORobotSurface,1.05,0.0910,100.0000,95.1747,20,601,70,0.025000,0.400000,10
SonyAIBORobotSurface,1.07,0.0890,100.0000,94.5092,20,601,70,0.025000,0.400000,10
SonyAIBORobotSurface,1.06,0.0910,100.0000,94.3428,20,601,70,0.025000,0.400000,10
SonyAIBORobotSurface,0.98,0.0980,100.0000,86.5225,20,601,70,0.025000,0.400000,10
SonyAIBORobotSurface,1.06,0.1160,95.0000,93.0116,20,601,70,0.025000,0.400000,10
SonyAIBORobotSurface,1.09,0.1110,100.0000,93.5108,20,601,70,0.025000,0.400000,10
SonyAIBORobotSurface,1.00,0.1070,100.0000,85.6905,20,601,70,0.025000,0.400000,10
SonyAIBORobotSurface,1.06,0.1000,100.0000,94.3428,20,601,70,0.025000,0.400000,10
SonyAIBORobotSurface,1.08,0.0880,100.0000,89.0183,20,601,70,0.025000,0.400000,10
SonyAIBORobotSurface,1.10,0.0940,100.0000,92.5125,20,601,70,0.025000,0.400000,10
SonyAIBORobotSurfaceII,1.42,0.1590,100.0000,88.4575,27,953,65,0.025000,0.400000,10
SonyAIBORobotSurfaceII,1.63,0.1760,96.2963,81.4271,27,953,65,0.025000,0.400000,10
SonyAIBORobotSurfaceII,1.40,0.1580,96.2963,86.4638,27,953,65,0.025000,0.400000,10
SonyAIBORobotSurfaceII,1.76,0.1430,100.0000,89.0871,27,953,65,0.025000,0.400000,10
SonyAIBORobotSurfaceII,1.75,0.1440,100.0000,89.0871,27,953,65,0.025000,0.400000,10
SonyAIBORobotSurfaceII,1.59,0.1490,100.0000,87.1983,27,953,65,0.025000,0.400000,10
SonyAIBORobotSurfaceII,1.54,0.1550,100.0000,91.7104,27,953,65,0.025000,0.400000,10
SonyAIBORobotSurfaceII,1.39,0.1550,100.0000,86.7786,27,953,65,0.025000,0.400000,10
SonyAIBORobotSurfaceII,1.73,0.1610,100.0000,90.3463,27,953,65,0.025000,0.400000,10
SonyAIBORobotSurfaceII,1.42,0.1470,100.0000,87.7230,27,953,65,0.025000,0.400000,10
TwoLeadECG,1.08,0.3330,100.0000,99.2098,23,1139,82,0.025000,0.300000,10
TwoLeadECG,1.03,0.3260,100.0000,97.1027,23,1139,82,0.025000,0.300000,10
