Dataset,TrainingTime,TestingTime,TrainingAccuacy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
ItalyPowerDemand,6.78,0.1160,100.0000,96.1127,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,6.44,0.1080,100.0000,94.7522,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,6.38,0.1130,100.0000,95.2381,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,6.41,0.1210,100.0000,94.7522,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,6.87,0.1120,100.0000,95.4325,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,6.98,0.1100,100.0000,95.2381,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,6.48,0.1150,100.0000,95.6268,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,6.55,0.1200,100.0000,95.1409,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,6.76,0.1170,100.0000,94.8494,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,6.39,0.1110,100.0000,93.9747,67,1029,24,0.300000,0.600000,10
CBF,3.52,0.3930,100.0000,98.5556,30,900,128,0.025000,0.200000,10
CBF,2.92,0.3380,100.0000,97.5556,30,900,128,0.025000,0.200000,10
CBF,2.88,0.3510,100.0000,95.6667,30,900,128,0.025000,0.200000,10
CBF,3.21,0.3300,100.0000,96.7778,30,900,128,0.025000,0.200000,10
CBF,3.39,0.3690,100.0000,96.8889,30,900,128,0.025000,0.200000,10
CBF,3.33,0.3690,100.0000,96.2222,30,900,128,0.025000,0.200000,10
CBF,2.70,0.3340,100.0000,96.0000,30,900,128,0.025000,0.200000,10
CBF,3.08,0.3420,100.0000,94.5556,30,900,128,0.025000,0.200000,10
CBF,3.28,0.3210,100.0000,97.3333,30,900,128,0.025000,0.200000,10
CBF,3.78,0.3810,100.0000,97.7778,30,900,128,0.025000,0.200000,10
Coffee,3.83,0.0250,100.0000,92.8571,28,28,286,0.025000,0.200000,10
Coffee,3.75,0.0230,100.0000,92.8571,28,28,286,0.025000,0.200000,10
Coffee,4.72,0.0250,100.0000,92.8571,28,28,286,0.025000,0.200000,10
Coffee,3.75,0.0250,100.0000,92.8571,28,28,286,0.025000,0.200000,10
Coffee,3.79,0.0240,100.0000,92.8571,28,28,286,0.025000,0.200000,10
Coffee,3.74,0.0230,100.0000,92.8571,28,28,286,0.025000,0.200000,10
Coffee,3.73,0.0260,100.0000,92.8571,28,28,286,0.025000,0.200000,10
Coffee,3.91,0.0330,100.0000,92.8571,28,28,286,0.025000,0.200000,10
Coffee,4.30,0.0210,100.0000,92.8571,28,28,286,0.025000,0.200000,10
Coffee,3.91,0.0260,100.0000,92.8571,28,28,286,0.025000,0.200000,10
ECGFiveDays,1.89,0.4840,100.0000,99.8839,23,861,136,0.025000,0.300000,10
ECGFiveDays,1.93,0.4680,100.0000,100.0000,23,861,136,0.025000,0.300000,10
ECGFiveDays,2.56,0.4990,100.0000,100.0000,23,861,136,0.025000,0.300000,10
ECGFiveDays,2.37,0.2680,100.0000,99.8839,23,861,136,0.025000,0.300000,10
ECGFiveDays,2.13,0.4980,100.0000,100.0000,23,861,136,0.025000,0.300000,10
ECGFiveDays,1.98,0.5240,100.0000,100.0000,23,861,136,0.025000,0.300000,10
ECGFiveDays,1.72,0.4810,100.0000,99.8839,23,861,136,0.025000,0.300000,10
ECGFiveDays,2.15,0.5030,100.0000,100.0000,23,861,136,0.025000,0.300000,10
ECGFiveDays,1.86,0.4940,100.0000,100.0000,23,861,136,0.025000,0.300000,10
ECGFiveDays,1.97,0.5270,100.0000,100.0000,23,861,136,0.025000,0.300000,10
MoteStrain,2.24,0.3000,100.0000,88.9776,20,1252,84,0.025000,0.200000,10
MoteStrain,2.15,0.2990,100.0000,89.2173,20,1252,84,0.025000,0.200000,10
MoteStrain,2.25,0.2760,100.0000,92.3323,20,1252,84,0.025000,0.200000,10
MoteStrain,1.85,0.2880,100.0000,90.8946,20,1252,84,0.025000,0.200000,10
MoteStrain,2.31,0.1560,100.0000,89.5367,20,1252,84,0.025000,0.200000,10
MoteStrain,1.89,0.2820,100.0000,90.2556,20,1252,84,0.025000,0.200000,10
MoteStrain,1.95,0.3250,100.0000,89.5367,20,1252,84,0.025000,0.200000,10
MoteStrain,2.61,0.2730,100.0000,91.3738,20,1252,84,0.025000,0.200000,10
MoteStrain,2.06,0.2000,100.0000,90.2556,20,1252,84,0.025000,0.200000,10
MoteStrain,2.27,0.2710,100.0000,91.5335,20,1252,84,0.025000,0.200000,10
SonyAIBORobotSurface,2.04,0.0630,100.0000,96.0067,20,601,70,0.025000,0.400000,10
SonyAIBORobotSurface,1.53,0.0770,100.0000,92.0133,20,601,70,0.025000,0.400000,10
SonyAIBORobotSurface,1.70,0.0720,100.0000,97.5042,20,601,70,0.025000,0.400000,10
SonyAIBORobotSurface,1.22,0.0680,100.0000,96.6722,20,601,70,0.025000,0.400000,10
SonyAIBORobotSurface,2.14,0.0680,100.0000,96.6722,20,601,70,0.025000,0.400000,10
SonyAIBORobotSurface,2.11,0.0810,100.0000,91.6805,20,601,70,0.025000,0.400000,10
SonyAIBORobotSurface,1.88,0.0720,100.0000,96.5058,20,601,70,0.025000,0.400000,10
SonyAIBORobotSurface,1.97,0.0690,100.0000,95.1747,20,601,70,0.025000,0.400000,10
SonyAIBORobotSurface,2.77,0.0690,100.0000,96.8386,20,601,70,0.025000,0.400000,10
SonyAIBORobotSurface,2.04,0.0800,100.0000,87.3544,20,601,70,0.025000,0.400000,10
SonyAIBORobotSurfaceII,3.09,0.1990,100.0000,87.4082,27,953,65,0.025000,0.400000,10
SonyAIBORobotSurfaceII,2.48,0.1580,100.0000,88.1427,27,953,65,0.025000,0.400000,10
SonyAIBORobotSurfaceII,2.77,0.2040,100.0000,90.4512,27,953,65,0.025000,0.400000,10
SonyAIBORobotSurfaceII,2.14,0.1690,100.0000,88.1427,27,953,65,0.025000,0.400000,10
SonyAIBORobotSurfaceII,2.55,0.2140,100.0000,90.0315,27,953,65,0.025000,0.400000,10
SonyAIBORobotSurfaceII,3.54,0.1730,100.0000,88.6674,27,953,65,0.025000,0.400000,10
SonyAIBORobotSurfaceII,3.30,0.1890,100.0000,89.2970,27,953,65,0.025000,0.400000,10
SonyAIBORobotSurfaceII,2.77,0.1590,100.0000,89.1920,27,953,65,0.025000,0.400000,10
SonyAIBORobotSurfaceII,2.76,0.1830,100.0000,89.5068,27,953,65,0.025000,0.400000,10
SonyAIBORobotSurfaceII,2.26,0.1460,100.0000,86.9885,27,953,65,0.025000,0.400000,10
TwoLeadECG,1.63,0.3300,100.0000,92.3617,23,1139,82,0.025000,0.300000,10
TwoLeadECG,1.67,0.3380,100.0000,94.6444,23,1139,82,0.025000,0.300000,10
TwoLeadECG,1.62,0.3190,100.0000,98.1563,23,1139,82,0.025000,0.300000,10
TwoLeadECG,1.81,0.3410,100.0000,98.5953,23,1139,82,0.025000,0.300000,10
TwoLeadECG,1.66,0.3160,100.0000,96.6637,23,1139,82,0.025000,0.300000,10
TwoLeadECG,1.67,0.3610,100.0000,95.7858,23,1139,82,0.025000,0.300000,10
TwoLeadECG,1.53,0.3630,100.0000,94.8200,23,1139,82,0.025000,0.300000,10
TwoLeadECG,1.24,0.3320,100.0000,98.6831,23,1139,82,0.025000,0.300000,10
TwoLeadECG,1.74,0.3460,100.0000,94.4688,23,1139,82,0.025000,0.300000,10
TwoLeadECG,1.41,0.3340,100.0000,98.2441,23,1139,82,0.025000,0.300000,10
